,vibration_rms_mm_s,vibration_rms_mm_s,vibration_rms_mm_s,vibration_rms_mm_s,peak_accel_g,peak_accel_g,peak_accel_g,peak_accel_g,bearing_temp_c,bearing_temp_c,bearing_temp_c,bearing_temp_c,rpm,rpm,rpm,rpm,load_pct,load_pct,load_pct,load_pct
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
asset_id,,,,,,,,,,,,,,,,,,,,
COMP-001,3.364871794871795,0.3939235924099382,2.12,4.79,1.6763553113553114,0.28601290960551384,0.75,2.72,73.79903846153846,2.456858917430963,64.9,81.4,3527.516025641026,40.99765609593767,3410,3649,79.96011904761905,9.895722373166256,51.6,100.0
COMP-002,2.924812271062271,0.2980029137697659,1.66,3.86,1.4746520146520146,0.2527763705520214,0.59,2.17,72.87614468864469,2.2864382519782183,66.0,80.6,3526.9848901098903,41.86058980830581,3404,3654,79.98511904761905,9.866255096696795,53.2,100.0
FAN-001,1.7233333333333334,0.2990306015386865,0.54,2.74,0.8684615384615385,0.2527788127160686,0.3,1.74,50.80993589743589,2.3095605227129377,41.7,57.8,1151.3017399267399,22.156981192606615,1084,1222,60.01611721611722,8.107836893416112,38.1,82.3
FAN-002,1.7068864468864469,0.3021579342691337,0.6,2.89,0.8503388278388279,0.24282573531503363,0.3,1.73,50.71346153846154,2.300847722718199,42.2,59.6,1152.506868131868,22.246648617345194,1080,1238,60.08571428571429,8.054634624282972,35.1,84.9
MOTOR-001,2.1323168498168497,0.2988264393150002,1.07,3.17,1.0646382783882784,0.24643562039136305,0.3,1.87,57.30631868131868,2.3122146531009102,49.5,65.0,1755.320512820513,26.293766960163822,1669,1838,75.07875457875458,9.359925546480792,52.6,100.0
PUMP-001,2.7824130036630037,0.36884573361253176,1.65,4.05,1.3903571428571428,0.2748981583201512,0.43,2.37,62.73855311355312,2.4222962105554773,52.8,70.3,1696.7582417582419,24.75120685525723,1623,1794,69.8739010989011,8.910953909128255,44.7,99.8
PUMP-002,2.4098305860805858,0.3011915847696849,1.27,3.38,1.2036904761904763,0.2472042991829667,0.3,2.01,61.74148351648351,2.321308963965625,53.7,70.2,1697.6849816849817,25.679276188413475,1614,1789,70.2948717948718,9.024292114848642,48.3,94.6
PUMP-003,2.416831501831502,0.2958719452184112,1.52,3.41,1.2035943223443224,0.24872803730434584,0.3,2.03,61.798809523809524,2.32257310126113,53.9,69.7,1696.4835164835165,25.684289618522758,1613,1781,69.89130036630037,8.903299781694987,37.5,97.3
