ReadingDt,Unit,Delivered_kWh
1/1/2024,T-01,50
1/1/2024,T-02,51
1/1/2024,T-03,52
1/2/2024,T-01,53
1/2/2024,T-02,54
1/2/2024,T-03,55
1/3/2024,T-01,56
1/3/2024,T-02,57
1/3/2024,T-03,58
1/4/2024,T-01,59
1/4/2024,T-02,60
1/4/2024,T-03,61
1/5/2024,T-01,62
1/5/2024,T-02,63
1/5/2024,T-03,64
1/6/2024,T-01,65
1/6/2024,T-02,66
1/6/2024,T-03,67
1/7/2024,T-01,68
1/7/2024,T-02,69
1/7/2024,T-03,70
1/8/2024,T-01,71
1/8/2024,T-02,72
1/8/2024,T-03,73
1/9/2024,T-01,74
1/9/2024,T-02,75
1/9/2024,T-03,76
1/10/2024,T-01,77
1/10/2024,T-02,78
1/10/2024,T-03,79
,T-01,9999
13/37/2024,T-02,1
