store_id,sales_revenue_usd,avg_roas,performance_weight,performance_budget,current_policy_budget,budget_change_pct
1,486225.31,-5.6478614452085925,0.005771469918869733,16290.62531897189,13415.694725534595,21.429606533646982
2,511430.52,-5.340891848829795,0.005457782019707331,15405.205815070032,14111.144748185601,9.170489637637798
3,530198.6,-6.298359898209471,0.006436205109381689,18166.915428283657,14628.984578169793,24.18439113944632
4,539182.47,-5.0534184689566555,0.0051640170290981535,14576.02096942111,14876.863195130083,-2.0222154479947996
5,520409.72,-3.0990141383792174,0.0031668388205559244,8938.760037989525,14358.894512753635,-37.74757499576254
6,489240.66,-5.847876747276635,0.00597586273381364,16867.54711063796,13498.892811398617,24.955041471214685
7,534668.87,-4.362657424577161,0.004458138064566288,12583.597913704232,14752.326116397648,-14.700923675235256
8,537641.49,-4.681081046389981,0.0047835306707020705,13502.055274244358,14834.3452166683,-8.981117285358458
9,510972.55,-5.034904904934068,0.005145098279252036,14522.620662466585,14098.508660373855,3.0082047137706533
10,505606.38,-5.2431454340200645,0.0053578963376266706,15123.267202484376,13950.44788055694,8.407037049771152
11,503676.06,-4.93737817530621,0.005045437090358948,14241.31570724323,13897.187420210697,2.476244124995148
12,501447.93,-3.645770648507074,0.003725561583456949,10515.818103880625,13835.709929685152,-23.995095608947008
13,520076.11,-6.83357349979367,0.0069831323369137464,19710.6792641374,14349.689706205441,37.359620087210885
14,534674.96,-4.094893909816643,0.004184514307007184,11811.263971844666,14752.494148746433,-19.937172299449397
15,482712.86,-6.86266727911605,0.007012862859486641,19794.597020026373,13318.78089573272,48.62168823851196
16,507978.56,-5.422175282785022,0.005540844413947369,15639.65879874359,14015.899929348925,11.585120310359502
17,526357.06,-3.9373860215616014,0.004023559218454176,11356.950066087971,14522.990655484178,-21.80019711160969
18,525540.54,-5.454420351723477,0.005573795194913862,15732.66609744537,14500.461628648258,8.49769131737621
19,537613.76,-3.8457811346031185,0.003929949477027026,11092.726004413542,14833.58010385519,-25.21882157409468
20,519053.61,-6.5073566786791375,0.0066497759703745005,18769.7432909238,14321.477378350977,31.060105009117517
21,480910.37,-4.96580846437876,0.005074489601607466,14323.319699636473,13269.047459219864,7.945349835070929
22,527287.03,-5.298284234122116,0.005414241899436006,15282.308910875125,14548.649940114805,5.042797605140057
23,519148.62,-3.8197040342628545,0.003903301656140261,11017.509522003395,14324.09884854115,-23.084100169236955
24,506710.36,-4.283602650345197,0.004377353106250801,12355.573250000522,13980.908365353782,-11.625389945198542
25,508560.2,-4.964733950615835,0.005073391571154648,14320.220384739727,14031.94826027633,2.0543984279038434
26,488213.34,-4.157404864799343,0.004248393369867081,11991.569837318437,13470.547492424095,-10.979343311305223
27,528458.47,-3.91932925183587,0.004005107260254595,11304.86733124638,14580.971748762075,-22.468354468856553
28,523214.02,-5.436077462279763,0.005555050855011658,15679.758082244613,14436.269408599384,8.613642752500226
29,497182.29,-5.263021800778939,0.005378207716359693,15180.598361669592,13718.014443925618,10.661775606976494
30,523229.64,-3.724435963837353,0.0038059485592161144,10742.719416895576,14436.70038812123,-25.58743252900868
31,496756.04,-4.736755964168886,0.0048404240836007,13662.643354175067,13706.253559086532,-0.3181774269931983
32,543780.09,-5.512744128645955,0.005633395439595594,15900.894515626102,15003.718513262354,5.979690978411114
33,524733.49,-6.527880599027358,0.006670749074983418,18828.942246088136,14478.193893494274,30.050352858921553
34,480802.3,-4.852440063916344,0.00495864003281638,13996.321214836324,13266.065643795677,5.504688357864229
35,476682.35,-5.9165390168402725,0.006046027738248027,17065.595755751307,13152.389966393226,29.752811461316465
36,510218.72,-9.883064257711624,0.010099363913757025,28506.59464429493,14077.70934584424,102.49455322580671
37,524559.58,-4.228277158046593,0.004320816766320057,12195.993048827411,14473.395452479926,-15.735094167293665
38,512182.0,-4.355415572379561,0.004450737717988946,12562.709600152106,14131.879222646308,-11.103757665715195
39,479999.35,-3.973193248423214,0.004060150118339877,11460.232011329177,13243.911033868299,-13.46791758097564
40,505600.11,-3.935242889387154,0.004021369181924955,11350.768440776928,13950.27488173479,-18.6340875932231
41,524517.51,-3.430115258840167,0.0035051863836792364,9893.784226958789,14472.234677288889,-31.63609872575525
42,540403.88,-4.069579841542444,0.004158646217822259,11738.24837017765,14910.563751965998,-21.27562334033192
43,475919.1,-5.708953021611878,0.005833898538786925,16466.837145516532,13131.330739757606,25.40113010526835
44,516680.85,-3.6759143244243213,0.0037563649805459733,10602.764169195485,14256.009326478154,-25.626001453978965
45,511569.07,-3.5964171551761357,0.003675127945005656,10373.46346649504,14114.967553099279,-26.507351664316804
46,514945.35,-7.131524623918013,0.0072876043865310255,20570.08599242992,14208.124245801942,44.77692928753588
47,513826.6,-7.081802168221325,0.007236793710644275,20426.66712432346,14177.256234274135,44.08053848205905
48,491766.93,-6.714743060708627,0.006861701187924206,19367.92613918856,13568.596437304634,42.740822373783764
49,499714.68,-5.972148500098062,0.006102854284532816,17225.995097116673,13787.88692992598,24.93571483914939
50,526087.24,-4.092394580855887,0.004181960278008012,11804.054936700384,14515.545911912839,-18.679910433042323
51,505760.49,-4.525205459695747,0.004624243608082086,13052.449559967334,13954.70000950134,-6.465566790541478
52,497609.87,-4.668238609913554,0.004770407166075099,13465.012701077545,13729.812025484554,-1.9286449364019176
53,519110.71,-3.501251453870319,0.0035778794576404745,10098.968633675537,14323.052854067839,-29.491507595691342
54,518742.41,-4.5123095194415965,0.004611065428699603,13015.252661131504,14312.890897736492,-9.066220415403308
55,506023.99,-8.718457710690469,0.008909268916091392,25147.417177638337,13961.970374674594,80.11366950937567
56,511858.65,-4.026316829039336,0.0041144363557915255,11613.461044267588,14122.957505079814,-17.768916035537163
57,512222.67,-4.91836182796179,0.005026004553330582,14186.46517797145,14133.00136971119,0.3782905475042217
58,515528.3,-6.510074088772612,0.006652552853406046,18777.581356729814,14224.208721618825,32.01143012047126
59,490831.46,-5.379299405415892,0.005497030159847524,15515.988120873959,13542.785399321243,14.57013947552925
60,528578.36,-4.679633858861173,0.004782051810186369,13497.881023507722,14584.279695937108,-7.449107498480267
61,510082.1,-3.864495911654069,0.003949073843627688,11146.706687867412,14073.939792561621,-20.798959977371187
62,498736.22,-5.475829450786671,0.005595672851161636,15794.418251714511,13760.88973255436,14.777594753552883
63,476347.08,-3.836623716092412,0.003920591640263186,11066.312453852117,13143.139357924018,-15.80160452928454
64,504776.01,-4.472553131756495,0.004570438937091501,12900.579802723616,13927.536711187244,-7.373571721686638
65,509007.0,-4.890243170999095,0.004997270494537958,14105.3600535813,14044.276150824375,0.434938063741647
66,528992.19,-5.595222409157308,0.005717678830671912,16138.793900693947,14595.697894114139,10.572266004505869
67,538057.69,-3.6788316337883527,0.003759346137821499,10611.178822113234,14845.82880674461,-28.5241736231495
