store_id,month,seasonality_factor,monthly_budget
1,1,2.2572757007508812,
2,1,2.2572757007508812,
3,1,2.2572757007508812,
4,1,2.2572757007508812,
5,1,2.2572757007508812,
6,1,2.2572757007508812,
7,1,2.2572757007508812,
8,1,2.2572757007508812,
9,1,2.2572757007508812,
10,1,2.2572757007508812,
11,1,2.2572757007508812,
12,1,2.2572757007508812,
13,1,2.2572757007508812,
14,1,2.2572757007508812,
15,1,2.2572757007508812,
16,1,2.2572757007508812,
17,1,2.2572757007508812,
18,1,2.2572757007508812,
19,1,2.2572757007508812,
20,1,2.2572757007508812,
21,1,2.2572757007508812,
22,1,2.2572757007508812,
23,1,2.2572757007508812,
24,1,2.2572757007508812,
25,1,2.2572757007508812,
26,1,2.2572757007508812,
27,1,2.2572757007508812,
28,1,2.2572757007508812,
29,1,2.2572757007508812,
30,1,2.2572757007508812,
31,1,2.2572757007508812,
32,1,2.2572757007508812,
33,1,2.2572757007508812,
34,1,2.2572757007508812,
35,1,2.2572757007508812,
36,1,2.2572757007508812,
37,1,2.2572757007508812,
38,1,2.2572757007508812,
39,1,2.2572757007508812,
40,1,2.2572757007508812,
41,1,2.2572757007508812,
42,1,2.2572757007508812,
43,1,2.2572757007508812,
44,1,2.2572757007508812,
45,1,2.2572757007508812,
46,1,2.2572757007508812,
47,1,2.2572757007508812,
48,1,2.2572757007508812,
49,1,2.2572757007508812,
50,1,2.2572757007508812,
51,1,2.2572757007508812,
52,1,2.2572757007508812,
53,1,2.2572757007508812,
54,1,2.2572757007508812,
55,1,2.2572757007508812,
56,1,2.2572757007508812,
57,1,2.2572757007508812,
58,1,2.2572757007508812,
59,1,2.2572757007508812,
60,1,2.2572757007508812,
61,1,2.2572757007508812,
62,1,2.2572757007508812,
63,1,2.2572757007508812,
64,1,2.2572757007508812,
65,1,2.2572757007508812,
66,1,2.2572757007508812,
67,1,2.2572757007508812,
68,1,2.2572757007508812,
69,1,2.2572757007508812,
70,1,2.2572757007508812,
71,1,2.2572757007508812,
72,1,2.2572757007508812,
73,1,2.2572757007508812,
74,1,2.2572757007508812,
75,1,2.2572757007508812,
