feature,importance
f12,0.05068694209287693
f30,0.04828766900876266
f11,0.047013851751241884
f49,0.046775304044169276
f10,0.0422940070577341
f14,0.04067983701804556
f43,0.03305708970443261
f13,0.03154707638784621
f8,0.029870168609735178
f35,0.028890353140317557
f76,0.028059983930069213
f5,0.027197236823942206
f75,0.02546010295080401
f24,0.024192329544626093
f79,0.023663501501202007
f74,0.020318366181779453
f6,0.01969191612377502
f4,0.0194315057392966
f7,0.017967029531956082
f77,0.01765275791394207
f58,0.016876785748648534
f9,0.016090607141603805
f50,0.015392814913122438
f78,0.015344746564394761
f72,0.015270001868143082
f57,0.014693835690462398
f2,0.014039412899282783
f80,0.01359396458253204
f69,0.01225877862407937
f0,0.011178797693236885
f59,0.01087658012850693
f41,0.010648032039076842
f1,0.010157127267170041
f25,0.010022626595236749
f48,0.009669552750246033
f32,0.009344725734723797
f68,0.009256909150694742
f28,0.009052031792366149
f39,0.009015051133134142
f47,0.008441405268507245
f67,0.008018056941649334
f38,0.007936394611866678
f3,0.007511167878882717
f15,0.007116912166391251
f33,0.006608528480130219
f23,0.006133122988995352
f81,0.006102558484400977
f42,0.0059481065046381705
f26,0.005697905972082749
f21,0.005624428302305248
f40,0.005455063367594349
f22,0.004712487377605341
f36,0.004269403217293009
f18,0.004215579753453105
f73,0.0038562711281037963
f60,0.0037658320792861386
f66,0.003677990866876953
f34,0.0035297886121127896
f64,0.0034835118300301105
f19,0.0033021745156386227
f31,0.0032503672109688137
f17,0.003137815161358042
f70,0.0027932914506124265
f63,0.002425646845293619
f27,0.0024136428800422285
f20,0.002292850991929459
f29,0.0019142568025897148
f71,0.0018034209260288773
f46,0.0016195416665073174
f37,0.0016072436949831296
f44,0.0015907144285171992
f16,0.0014878808789966361
f45,0.0014791559592504762
f65,0.0012580693818616795
f54,0.0
f53,0.0
f56,0.0
f52,0.0
f51,0.0
f55,0.0
f62,0.0
f61,0.0
