pressure_kPa,flame_speed_cm_s,regime,predicted_speed,residuals
38.0,40.0661,low,40.04819398326653,0.0179060167334697
38.888,39.3117,low,39.1971871793228,0.11451282067719859
39.776,38.5351,low,38.38287372342203,0.15222627657797005
40.664,37.5782,low,37.602904145219334,-0.024704145219331508
41.552,36.8004,low,36.85512644211227,-0.05472644211226907
42.44,36.2826,low,36.13756569515082,0.14503430484918312
43.328,35.2759,low,35.44840616406946,-0.1725061640694605
44.216,34.6898,low,34.78597551616401,-0.09617551616400988
45.104,34.1571,low,34.1487308976785,0.008369102321502453
45.993,33.6413,low,33.53456862838592,0.10673137161408164
46.881,32.6766,low,32.94354970996414,-0.2669497099641376
47.769,32.3785,low,32.37374723137216,0.004752768627845683
48.657,31.5924,low,31.824026015307954,-0.23162601530795257
49.545,31.1796,low,31.293330891400917,-0.11373089140091608
50.433,30.9588,low,30.780679747077475,0.17812025292252542
51.321,30.2888,low,30.285157291870597,0.003642708129401484
52.209,30.1568,low,29.805909451030896,0.35089054896910454
53.097,29.3441,low,29.342138315462382,0.001961684537619135
53.985,29.1029,low,28.89309758453057,0.2098024154694329
54.873,28.6335,low,28.458088446438197,0.17541155356180482
55.761,28.0511,low,28.03645584785166,0.01464415214834247
56.649,27.383,low,27.627585110470765,-0.2445851104707657
57.537,27.23,low,27.230898857415035,-0.0008988574150343709
58.425,26.7614,low,26.845854216777003,-0.08445421677700438
59.313,26.3821,low,26.47194027357109,-0.08984027357108815
60.201,26.1669,low,26.10867574467401,0.05822425532598885
61.09,25.4957,low,25.755214838123713,-0.2595148381237138
61.978,25.2708,low,25.411924140881403,-0.14112414088140213
62.866,24.9126,low,25.07799599696725,-0.1653959969672485
63.754,24.7429,low,24.753048148849455,-0.010148148849456362
64.642,24.3277,low,24.436718985163893,-0.10901898516389252
65.53,24.0368,low,24.128666160795976,-0.09186616079597698
66.418,23.9086,low,23.828565326416047,0.08003467358395255
67.306,23.5043,low,23.536108957456324,-0.03180895745632384
68.194,23.3138,low,23.251005273551876,0.062794726448125
69.082,22.8164,low,22.972977240383536,-0.15657724038353393
69.97,22.6074,low,22.701761646672452,-0.0943616466724535
70.858,22.9216,low,22.437108249796776,0.484491750203226
71.746,22.1206,low,22.178778984142127,-0.05817898414212763
72.634,21.5917,low,21.926547226868582,-0.3348472268685825
73.522,21.8403,low,21.680197116286493,0.16010288371350612
74.41,21.3949,low,21.439522918488493,-0.04462291848849276
75.299,21.3555,low,21.20406659733907,0.15143340266092764
76.187,21.0643,low,20.97417048770517,0.0901295122948298
77.075,20.9729,low,20.749387968983864,0.22351203101613493
77.963,20.6287,low,20.529548327911833,0.09915167208816555
78.851,20.3939,low,20.314488409448707,0.07941159055129177
79.739,20.464,low,20.104052201665173,0.3599477983348258
80.627,19.5905,low,19.89809044775232,-0.3075904477523217
81.515,19.5731,low,19.696460283104006,-0.12336028310400593
82.403,32.576,high,32.609466746586676,-0.03346674658667581
83.291,32.4578,high,32.464563917642494,-0.006763917642494732
84.179,32.2296,high,32.3196610886983,-0.09006108869829887
85.067,32.1187,high,32.174758259754114,-0.056058259754117046
85.955,32.5352,high,32.029855430809924,0.5053445691900791
86.843,31.6652,high,31.884952601865734,-0.21975260186573564
87.731,31.6117,high,31.740049772921548,-0.12834977292154903
88.619,31.6502,high,31.59514694397736,0.05505305602264343
89.507,31.2738,high,31.45024411503317,-0.17644411503316704
90.396,31.5618,high,31.305178107227555,0.25662189277244707
91.284,31.1149,high,31.160275278283365,-0.04537527828336607
92.172,30.7405,high,31.015372449339182,-0.2748724493391812
93.06,31.0598,high,30.870469620394992,0.18933037960500698
93.948,30.8635,high,30.725566791450802,0.137933208549196
94.836,30.4686,high,30.580663962506613,-0.11206396250661399
95.724,30.4387,high,30.435761133562423,0.002938866437578014
96.612,30.3666,high,30.29085830461824,0.07574169538175823
97.5,30.0662,high,30.14595547567405,-0.07975547567405172
