month,sales_revenue_usd,ad_spend_usd,is_holiday_month,roi,roi_multiplier,budget_multiplier
1,512694.0315166667,18972.368166666667,1.0,27.023196419803824,0.646745663275429,1.4626723446726475
2,227988.70719999998,4810.8611,0.0,47.39041565760441,1.1341939469793538,0.8340522343901721
3,229331.90365,4867.0773,0.0,47.11901815284504,1.1276985954857657,0.8388562329479986
4,229198.18486666665,4885.087416666667,0.0,46.917929059918386,1.122885933920423,0.8424515501829932
5,229557.42318333333,4922.172016666666,0.0,46.63742396772054,1.1161726107040515,0.8475185528098935
6,229347.04871666664,4914.784466666667,0.0,46.664721570631905,1.1168259237328464,0.8470227773260603
7,230454.02795000002,5023.021216666667,0.0,45.8795649091309,1.0980347837829678,0.8615182412080268
8,229339.58058333333,4897.768266666667,0.0,46.825322901489116,1.1206695924326766,0.8441176615281165
9,231151.36569999997,4993.158816666667,0.0,46.29361375977862,1.1079442073160162,0.8538128449640603
10,229356.17991666665,4937.925283333333,0.0,46.447883829023915,1.111636350048046,0.8509770264970666
11,511415.8097,18854.515433333334,1.0,27.12431467720757,0.6491657246714937,1.4572195662188485
12,511473.54774999997,18889.789,1.0,27.076721066074374,0.6480266676509314,1.4597809672541162
