store_id,share,r2
1,0.021522873519804222,0.18587497082247195
2,0.02407869225835035,0.22587571644698812
3,0.024683715359364707,0.23896631136741442
4,0.025714101226906566,0.24046722947084087
5,0.026764002704713463,0.28465543591775566
6,0.025548257730592546,0.25596363014817636
7,0.02403427785911384,0.21934166059782734
8,0.026069504976502556,0.25612138418310193
9,0.025994447170295625,0.260007677783582
10,0.02486960211266927,0.25625963331629065
11,0.022832337364592087,0.2136689448349236
12,0.026339093405394087,0.29131218070018816
13,0.026868581881820862,0.2702391832448331
14,0.02791670374994539,0.2938593792595594
15,0.024116428592911836,0.23711801244723896
16,0.022639573026239347,0.21429651051722787
17,0.026904815961526073,0.2985757163083974
18,0.02591878001928314,0.25305268904385914
19,0.02501798160892866,0.2383824769321803
20,0.02301884321858617,0.21594867028103804
21,0.02410822921044905,0.229554233873848
22,0.023241648668625436,0.22082132301182633
23,0.02731194698006347,0.2932535584845777
24,0.028023150920813842,0.30746416560107614
25,0.024748463754739967,0.2476293741950557
26,0.026597725793551606,0.275239739294206
27,0.024471641096217866,0.24636976398946808
28,0.025377062289772025,0.26300849543896676
29,0.02659329360125031,0.2791033009813991
30,0.02367781528703858,0.24054523647400528
31,0.02275003746177121,0.21214960031235663
32,0.02640541402621918,0.26396922020154734
33,0.020377258499477975,0.16754388728800806
34,0.022147563640126714,0.21006419000045196
35,0.023354010499503777,0.20634609809161664
36,0.022569447242277125,0.20061974008021954
37,0.025088086679037055,0.2526350898182449
38,0.02559609610401483,0.2644074956987007
39,0.0250289695333705,0.25039693310447364
40,0.025528801299967548,0.27296997382920674
41,0.025883748691408543,0.2834853240116647
42,0.025721087769670276,0.2364248991342104
43,0.022803946119284896,0.2237110419764361
44,0.02750541555139138,0.2946288338623211
45,0.026502563991660538,0.2964054105698466
46,0.021560171903906702,0.18112149003165723
47,0.02342067539587096,0.22344089408456602
48,0.023391228026098193,0.2182785292486492
49,0.02258677986386198,0.20482603672586353
50,0.02681629346600352,0.261637350358502
51,0.02285734025941303,0.22542318368095693
52,0.024628389753923854,0.24276056198821416
53,0.02525847703503481,0.26556240648406204
54,0.023736581803806247,0.24084559582427356
55,0.019652193201062037,0.15791664447657583
56,0.025101056286381047,0.26511972564991115
57,0.02310426457228102,0.229829951264529
