n_samples,tsi_prefix
1,1.0
2,1.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.04884465237330671
8,0.17604104271608212
9,0.24274855456995081
10,0.33619887628749134
11,0.29830717346732816
12,0.2636086896234823
13,0.26462570036779387
14,0.22877944991524335
15,0.2525208488375398
16,0.23647701115986675
17,0.2410826517097414
18,0.22042396909128448
19,0.20211036243203306
20,0.20817157611916015
21,0.2105683074552559
22,0.20325472695212166
23,0.17356566627140957
24,0.1815028255375979
25,0.17933933906804078
26,0.1780503438716553
27,0.17293716790608593
28,0.1786003447302108
29,0.19405957382625116
30,0.22199343719928766
31,0.27174458733843876
32,0.3375628804382371
33,0.36887676066530706
34,0.3726160380019091
35,0.39096246170075244
36,0.4202434039119597
37,0.451899893083602
38,0.45723263051099783
39,0.4543139010481233
40,0.46036452210170553
41,0.473156479941939
42,0.4933098131987549
43,0.5003688425937487
44,0.5128225885188074
45,0.5251884493476968
46,0.537919230480153
47,0.5524361787583878
48,0.5712738496308332
49,0.5910347283651801
50,0.610156332966058
51,0.6281101352330941
52,0.6460648759997953
53,0.6406357254556181
54,0.646277869255646
55,0.6490078743398876
56,0.648692488709163
57,0.6497216927498606
58,0.6444857127974732
59,0.642950932938293
60,0.6443902898342879
61,0.6311235513873479
62,0.6310831436705782
63,0.6317551221835491
64,0.6320275325634941
65,0.6332784409461508
66,0.636408356217003
67,0.6397997839745979
68,0.6413243656422588
69,0.6434218739456361
70,0.6471988045049726
71,0.6410919259177428
72,0.6356949668098195
73,0.6324374184720579
74,0.6315234470485926
75,0.6314907401702974
76,0.6300033817965663
77,0.6292875334380574
78,0.6293450253817219
79,0.6285402430764389
80,0.6284232443557038
81,0.6284674404135124
82,0.6268020726626423
83,0.6262797294206042
84,0.6257355385703804
85,0.6213351315227844
86,0.6209135498731946
87,0.6211345094861339
88,0.6221342665421679
89,0.6216761624848286
90,0.6210522284992783
91,0.6195063993876528
92,0.6194967285164727
93,0.618856331211358
94,0.6189116091887845
95,0.6107193762414773
96,0.6097876595179317
97,0.6153734000121069
98,0.6272084674873147
99,0.6379009192198302
100,0.6495402676907578
101,0.6629111013850786
102,0.6656415403410082
103,0.6735909035303416
104,0.6776137739067278
105,0.6831791230257951
106,0.6906116381224887
107,0.6980008535545337
108,0.7070973800685718
109,0.7117416204325503
110,0.7156436979417344
111,0.7230851310338737
112,0.7296506304222742
113,0.736374377934929
