station_id,lat,lon,pressure_dbar,temperature_c,salinity_psu
ST0,-19.7649,41.4093,0,22.34448005816085,35.068340043349686
ST0,-19.7649,41.4093,2,22.36528303997181,35.07843251397432
ST0,-19.7649,41.4093,4,22.42238426485051,35.06487289749121
ST0,-19.7649,41.4093,6,22.272185759171574,35.062154742250605
ST0,-19.7649,41.4093,8,22.280665466549678,35.039637614274085
ST0,-19.7649,41.4093,10,22.158369327914055,35.053221745492124
ST0,-19.7649,41.4093,12,22.166797239102152,35.07124911266187
ST0,-19.7649,41.4093,14,22.137935946579645,35.033065016015556
ST0,-19.7649,41.4093,16,22.035046660003353,35.02933171923877
ST0,-19.7649,41.4093,18,21.923860274883477,35.00099204187632
ST0,-19.7649,41.4093,20,21.8534242724506,35.0110368118529
ST0,-19.7649,41.4093,22,21.822107126385706,35.01178875057209
ST0,-19.7649,41.4093,24,21.825220821964113,35.022618125573956
ST0,-19.7649,41.4093,26,21.767048778309203,35.00999066137098
ST0,-19.7649,41.4093,28,21.74416076269646,35.0047174745621
ST0,-19.7649,41.4093,30,21.633645224829564,34.99631194056859
ST0,-19.7649,41.4093,32,21.60496274521894,34.98207817077879
ST0,-19.7649,41.4093,34,21.53579224129145,34.975688233169436
ST0,-19.7649,41.4093,36,21.351404396511832,34.97243190644833
ST0,-19.7649,41.4093,38,21.364407209806163,34.9589967220273
ST0,-19.7649,41.4093,40,21.329595546839627,34.967634382638124
ST0,-19.7649,41.4093,42,21.239783155629077,34.96012730368627
ST0,-19.7649,41.4093,44,21.163220574372435,34.95013754074454
ST0,-19.7649,41.4093,46,21.014954338869533,34.950379557108505
ST0,-19.7649,41.4093,48,21.077410209730044,34.96250857885054
ST0,-19.7649,41.4093,50,20.880518959140435,34.939781907163855
ST0,-19.7649,41.4093,52,20.865831973289804,34.93253406168461
ST0,-19.7649,41.4093,54,20.74087348531321,34.93635936373117
ST0,-19.7649,41.4093,56,20.625978482960512,34.94931493489061
