window_center,tsi
250,0.7888587340838189
300,0.7631652196235115
350,0.7182753863365219
400,0.7887231112486066
450,0.8347164850830764
500,0.8876430220612228
550,0.8983616899630935
600,0.9017830754775352
650,0.8996954042209538
700,0.9015212620323878
750,0.8940296895248273
800,0.8737503148860066
850,0.8340925061252582
900,0.8165548810708716
950,0.7972304770049778
1000,0.8003749160155954
1050,0.7931077633582219
1100,0.8112065169733882
1150,0.8005223867527779
1200,0.7972003467657859
1250,0.7979914664278971
1300,0.8009651696430609
1350,0.8611374189427927
1400,0.8779261538604354
1450,0.8943703117811611
1500,0.9181565593312219
1550,0.9286158403863833
1600,0.9400211365297172
1650,0.9453667625547477
1700,0.9500079176107548
1750,0.9546359877426298
1800,0.9552925506931763
1850,0.954958893621674
1900,0.9530230705669409
1950,0.9457170388932565
2000,0.9380830343874085
2050,0.926274720016168
2100,0.9022160317333285
2150,0.8531985826850554
2200,0.8122143888134469
2250,0.8141890115951882
2300,0.8280536980292851
2350,0.8560400381154882
2400,0.8798950782908099
2450,0.8921031638733407
2500,0.891329030925434
2550,0.8840238696779474
2600,0.8878174017719727
2650,0.8965395455423524
2700,0.8856755588805645
2750,0.826809668765981
2800,0.8250794167950064
2850,0.8422262004732496
2900,0.8791674946126993
2950,0.9007918934096233
3000,0.9019601696803574
3050,0.8961051368071934
3100,0.8969453443742903
3150,0.8907533807602197
3200,0.8804610121780758
3250,0.8571144404500285
3300,0.8538057229927838
3350,0.8548857775815968
3400,0.8787581455516291
3450,0.8958029857585468
3500,0.9037482263091807
3550,0.9096118778646768
3600,0.9120061026053772
3650,0.9054694500433708
3700,0.8870898701140367
3750,0.8895237933260303
3800,0.8980985366303585
3850,0.9102585412446734
3900,0.913313857509502
3950,0.9086806286698419
4000,0.9004052241180468
4050,0.886508803480787
4100,0.8715665910057516
4150,0.8546146282968562
4200,0.8568805010117224
4250,0.8547629247168654
4300,0.8525856426962648
4350,0.8435924972086909
4400,0.8372598497364345
4450,0.8357822431489627
4500,0.836177060744242
4550,0.8168263592833378
4600,0.8256442270879443
4650,0.8873101895942848
4700,0.9071085252251467
4750,0.9146044296270502
