time_min,temperature_c,fitted_temp,residual
0,85.0,84.99998338131378,1.6618686217384493e-05
1,84.311,84.31081653807072,0.00018346192928220262
2,83.63,83.62956580852156,0.0004341914784333767
3,82.956,82.95614026424072,-0.00014026424071289512
4,82.29,82.29045002125183,-0.0004500212518223634
5,81.632,81.63240622803063,-0.00040622803062717594
6,80.982,80.98192105364576,7.894635423610907e-05
7,80.339,80.33890767603567,9.232396432423684e-05
8,79.703,79.70328027042027,-0.0002802704202622408
9,79.075,79.07495399784565,4.600215434891197e-05
10,78.454,78.45384499386039,0.0001550061396073943
11,77.84,77.83987035732193,0.00012964267807547003
12,77.233,77.23294813933157,5.1860668435210755e-05
13,76.633,76.63299733229643,2.66770356915913e-06
14,76.04,76.03993785911723,6.214088277545216e-05
15,75.454,75.45369056250016,0.0003094374998369176
16,74.874,74.8741771943915,-0.00017719439151164806
17,74.301,74.30132040553366,-0.0003204055336567535
18,73.735,73.73504373514116,-4.37351411619602e-05
19,73.175,73.1752716006952,-0.0002716006951999361
20,72.622,72.62192928785541,7.07121445913117e-05
21,72.075,72.0749429404876,5.7059512400314816e-05
22,71.534,71.53423955080592,-0.00023955080591520073
23,71.0,70.9997469496283,0.0002530503716968724
24,70.472,70.47139379674388,0.0006062032561118258
25,69.949,69.94910957139096,-0.0001095713909649021
26,69.433,69.4328245628445,0.0001754371555051648
27,68.923,68.92246986111151,0.0005301388884930702
28,68.418,68.41797734773355,2.265226645192797e-05
29,67.919,67.91927968669475,-0.00027968669475342267
30,67.426,67.4263103154342,-0.000310315434191466
31,66.939,66.93900343596175,-3.435961758668782e-06
32,66.457,66.45729400607581,-0.0002940060758191976
33,65.981,65.98111773068182,-0.00011773068182208135
34,65.51,65.51041105321076,-0.0004110532107546305
35,65.045,65.04511114713603,-0.00011114713602466963
36,64.585,64.58515590758779,-0.0001559075877963778
37,64.131,64.13048394306367,0.0005160569363340528
38,63.681,63.68103456723473,-3.456723473505008e-05
39,63.237,63.236747790845385,0.0002522091546168781
40,62.798,62.797564313706545,0.00043568629345713816
41,62.364,62.36342551678063,0.0005744832193670391
42,61.934,61.934273454357545,-0.00027345435754710934
43,61.51,61.51005084632045,-5.0846320455377736e-05
44,61.091,61.090701070500515,0.000298929499486178
45,60.676,60.676168155119306,-0.00016815511930445837
46,60.266,60.26639677131815,-0.000396771318150968
47,59.861,59.86133222577318,-0.00033222577318525737
48,59.461,59.460920453395325,7.954660467390795e-05
49,59.065,59.06510801011403,-0.00010801011403316352
50,58.674,58.673842065744,0.0001579342560020791
51,58.287,58.28707039693373,-7.039693372945521e-05
52,57.905,57.904741380195155,0.00025861980484620517
53,57.527,57.52680398501333,0.00019601498667043415
54,57.153,57.15320776703521,-0.00020776703521363515
55,56.784,56.78390286133673,9.713866327132337e-05
56,56.419,56.41883997576717,0.0001600242328265722
