frame,rolling_tsi
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,0.6495402676907578
100,0.6655367271816827
101,0.6691606080434038
102,0.6795624137274946
103,0.6933640460758619
104,0.7020739802114372
105,0.7072006894869036
106,0.7126864115405578
107,0.7198739175194104
108,0.7245473898750251
109,0.7273139107658495
110,0.7353730255885444
111,0.7417650335893606
112,0.751416383175196
113,0.7578541998703905
114,0.7676301427568409
115,0.7759910449285624
116,0.7843757030986711
117,0.7921713235292537
118,0.7909342697020367
119,0.7947763093011386
120,0.7985175085374875
121,0.805253252103275
122,0.8087061690814457
123,0.8078974247276227
124,0.8084202228187836
125,0.8100300674610137
126,0.8074171232164304
127,0.8069049698663151
128,0.8082083006720506
129,0.8164896609841332
130,0.8179799274416146
131,0.8181786268707856
132,0.820096727591095
133,0.8229164962191311
134,0.8252646003296245
135,0.8271601751008123
136,0.8301565509419182
137,0.8316427084680511
138,0.8275734999774652
139,0.8169026296867868
140,0.8166576230868771
141,0.8156180139629083
142,0.811105604693036
143,0.811245627358782
144,0.811239608737436
145,0.812793661880173
146,0.8129669343945859
147,0.8139072098403909
148,0.8113656353575213
149,0.8103523260186568
150,0.8096615200504913
151,0.8092968487878999
152,0.8067115638975584
153,0.8073204974657235
154,0.8083588705967086
155,0.8039729626057157
156,0.8068763505450361
157,0.8044548453865379
158,0.8047201344607464
159,0.8051099768210485
160,0.8045743769086102
161,0.8050357768274016
162,0.7987871819755614
163,0.7982653326075957
164,0.7962295160795788
165,0.7931881089242996
166,0.7890563707258471
167,0.7870284601508488
168,0.7829871585348032
169,0.7804501861937312
170,0.7785573825247862
171,0.7767600971651789
172,0.7756855281240708
173,0.7728533977084125
174,0.7714192680709493
175,0.7696339410298837
176,0.7628952554408002
177,0.7600539534007059
178,0.7553905401176719
179,0.7506282391004737
180,0.7409153740927681
181,0.733871460277318
182,0.7269133152295991
183,0.7191183550064055
184,0.7132115026385694
185,0.7017290956538784
186,0.6944639559539736
187,0.6845085586923276
188,0.6719309848431803
189,0.654132008635435
190,0.6308990965260949
191,0.6108647395864675
192,0.5883869767983516
193,0.5661626229095561
194,0.5498778480674932
195,0.5387105146993177
196,0.5334452974565322
197,0.5298148707993735
198,0.526470212172919
199,0.5241689117568606
200,0.5273501003763199
201,0.521649684033257
202,0.5238024267638688
