frame,model_output,rolling_tsi
4326,-4.8278052925643005,0.2711048980098979
4327,-4.790044527094055,0.2532632190989073
4328,-4.744571765128069,0.2233335496721173
4329,-4.886268152199418,0.1997124016902778
4330,-4.739316538613097,0.1802997330371113
4331,-4.834667043488447,0.1773576574504943
4332,-4.712382178344938,0.1668329792078041
4333,-4.630658669066419,0.1771935411511643
4334,-4.584472049723645,0.1910848450331178
4335,-4.652870832196316,0.1892111653643015
4336,-4.640743644610754,0.1901510724100554
4337,-4.678417357462343,0.1844332859249504
4338,-4.676094191741919,0.1822937213981302
4339,-4.696083972468764,0.1689776940570387
4340,-4.859172812994557,0.1405791951434644
4341,-4.76943008091579,0.1319433903887602
4342,-4.77591865343974,0.1336094212626739
4343,-4.814702685399919,0.1334151173500458
4344,-4.8595288640263,0.1357247451199266
4345,-4.830852097916959,0.1368933134038403
4346,-4.902352604980517,0.1424959932478894
4347,-5.08276664965844,0.1645560195867393
4348,-5.0501962654017785,0.2023539172805112
4349,-5.008668025565233,0.2137147424537882
4350,-5.024638571539444,0.2296120563272256
4351,-5.1164708015546445,0.2583538503050752
4352,-5.109355958283501,0.2937220222859767
