timestamp,actual,naive_forecast,average_day_forecast,persistence_forecast
2026-01-07 00:00:00+00:00,118.503,121.487,118.31566666666667,119.739
2026-01-07 00:15:00+00:00,117.889,123.746,120.7815,119.739
2026-01-07 00:30:00+00:00,125.19,126.503,122.08583333333333,119.739
2026-01-07 00:45:00+00:00,105.511,110.98,118.05166666666668,119.739
2026-01-07 01:00:00+00:00,120.918,121.338,120.68733333333334,119.739
2026-01-07 01:15:00+00:00,122.991,120.884,118.36366666666667,119.739
2026-01-07 01:30:00+00:00,121.765,119.019,116.01650000000001,119.739
2026-01-07 01:45:00+00:00,112.17,123.614,118.64050000000002,119.739
2026-01-07 02:00:00+00:00,123.476,121.511,118.64616666666666,119.739
2026-01-07 02:15:00+00:00,111.076,124.941,121.93150000000001,119.739
2026-01-07 02:30:00+00:00,113.597,121.903,119.1185,119.739
2026-01-07 02:45:00+00:00,119.387,119.323,118.36133333333333,119.739
2026-01-07 03:00:00+00:00,113.979,112.788,120.13,119.739
2026-01-07 03:15:00+00:00,121.977,122.748,118.20550000000001,119.739
2026-01-07 03:30:00+00:00,124.514,118.585,123.67116666666665,119.739
2026-01-07 03:45:00+00:00,128.869,126.675,120.66366666666666,119.739
2026-01-07 04:00:00+00:00,121.888,119.143,120.45466666666665,119.739
2026-01-07 04:15:00+00:00,115.18,126.873,118.09466666666667,119.739
2026-01-07 04:30:00+00:00,126.009,116.478,118.12349999999999,119.739
2026-01-07 04:45:00+00:00,125.406,124.11,120.69583333333333,119.739
2026-01-07 05:00:00+00:00,119.025,117.395,118.13933333333334,119.739
2026-01-07 05:15:00+00:00,117.143,117.818,114.7795,119.739
2026-01-07 05:30:00+00:00,123.183,116.013,115.705,119.739
2026-01-07 05:45:00+00:00,118.74,131.269,123.22016666666667,119.739
2026-01-07 06:00:00+00:00,117.558,124.888,119.1835,119.739
2026-01-07 06:15:00+00:00,118.678,122.382,120.539,119.739
2026-01-07 06:30:00+00:00,123.137,130.682,122.43783333333333,119.739
2026-01-07 06:45:00+00:00,120.502,116.118,120.01083333333332,119.739
2026-01-07 07:00:00+00:00,124.501,121.26,120.29266666666666,119.739
2026-01-07 07:15:00+00:00,119.572,122.999,123.19533333333334,119.739
2026-01-07 07:30:00+00:00,123.42,114.589,120.38033333333334,119.739
2026-01-07 07:45:00+00:00,119.287,120.401,119.48866666666667,119.739
2026-01-07 08:00:00+00:00,118.642,117.281,119.81133333333334,119.739
2026-01-07 08:15:00+00:00,120.91,119.752,120.2185,119.739
2026-01-07 08:30:00+00:00,121.821,122.782,119.24766666666666,119.739
2026-01-07 08:45:00+00:00,113.668,118.812,121.14433333333334,119.739
2026-01-07 09:00:00+00:00,119.879,117.755,122.21816666666666,119.739
2026-01-07 09:15:00+00:00,120.694,131.459,122.63116666666667,119.739
2026-01-07 09:30:00+00:00,131.926,123.935,121.883,119.739
2026-01-07 09:45:00+00:00,123.677,116.658,120.092,119.739
2026-01-07 10:00:00+00:00,122.465,122.072,120.91283333333332,119.739
2026-01-07 10:15:00+00:00,127.268,119.073,120.27683333333333,119.739
2026-01-07 10:30:00+00:00,118.349,128.821,122.0095,119.739
2026-01-07 10:45:00+00:00,123.183,121.296,120.62666666666667,119.739
2026-01-07 11:00:00+00:00,119.621,124.979,124.55499999999999,119.739
2026-01-07 11:15:00+00:00,118.426,121.98,118.15883333333333,119.739
2026-01-07 11:30:00+00:00,117.631,129.022,120.3855,119.739
2026-01-07 11:45:00+00:00,124.119,115.612,116.46716666666667,119.739
2026-01-07 12:00:00+00:00,116.137,116.035,119.50216666666667,119.739
2026-01-07 12:15:00+00:00,126.346,124.313,119.77083333333333,119.739
2026-01-07 12:30:00+00:00,117.514,122.657,123.382,119.739
2026-01-07 12:45:00+00:00,117.074,114.149,121.04200000000002,119.739
2026-01-07 13:00:00+00:00,115.728,110.655,120.57916666666667,119.739
2026-01-07 13:15:00+00:00,121.905,109.446,115.05250000000001,119.739
2026-01-07 13:30:00+00:00,121.732,122.43,121.9835,119.739
2026-01-07 13:45:00+00:00,121.697,118.126,119.1315,119.739
2026-01-07 14:00:00+00:00,118.736,117.828,118.88850000000001,119.739
2026-01-07 14:15:00+00:00,123.023,121.675,119.80683333333333,119.739
2026-01-07 14:30:00+00:00,120.624,117.755,117.89550000000001,119.739
2026-01-07 14:45:00+00:00,116.365,119.691,120.05149999999999,119.739
2026-01-07 15:00:00+00:00,124.704,122.594,122.29366666666665,119.739
2026-01-07 15:15:00+00:00,122.712,122.032,120.25066666666667,119.739
2026-01-07 15:30:00+00:00,127.287,114.713,118.77183333333333,119.739
2026-01-07 15:45:00+00:00,117.36,120.753,117.10000000000001,119.739
2026-01-07 16:00:00+00:00,117.28,121.628,119.745,119.739
2026-01-07 16:15:00+00:00,127.568,118.924,118.051,119.739
2026-01-07 16:30:00+00:00,118.044,118.576,120.73083333333334,119.739
2026-01-07 16:45:00+00:00,115.718,119.595,115.76733333333334,119.739
