timestamp_utc,load_mw,hour,day_of_week,day_of_month,is_weekend
2026-01-01 00:00:00+00:00,117.221,0,3,1,0
2026-01-01 00:15:00+00:00,119.945,0,3,1,0
2026-01-01 00:30:00+00:00,112.981,0,3,1,0
2026-01-01 00:45:00+00:00,116.926,0,3,1,0
2026-01-01 01:00:00+00:00,118.181,1,3,1,0
2026-01-01 01:15:00+00:00,117.634,1,3,1,0
2026-01-01 01:30:00+00:00,108.708,1,3,1,0
2026-01-01 01:45:00+00:00,109.703,1,3,1,0
2026-01-01 02:00:00+00:00,119.72,2,3,1,0
2026-01-01 02:15:00+00:00,128.163,2,3,1,0
2026-01-01 02:30:00+00:00,122.399,2,3,1,0
2026-01-01 02:45:00+00:00,121.203,2,3,1,0
2026-01-01 03:00:00+00:00,119.081,3,3,1,0
2026-01-01 03:15:00+00:00,112.408,3,3,1,0
2026-01-01 03:30:00+00:00,124.11,3,3,1,0
2026-01-01 03:45:00+00:00,118.757,3,3,1,0
2026-01-01 04:00:00+00:00,114.51,4,3,1,0
2026-01-01 04:15:00+00:00,107.875,4,3,1,0
2026-01-01 04:30:00+00:00,119.882,4,3,1,0
2026-01-01 04:45:00+00:00,124.646,4,3,1,0
2026-01-01 05:00:00+00:00,119.197,5,3,1,0
2026-01-01 05:15:00+00:00,99.074,5,3,1,0
2026-01-01 05:30:00+00:00,116.705,5,3,1,0
2026-01-01 05:45:00+00:00,123.687,5,3,1,0
2026-01-01 06:00:00+00:00,121.406,6,3,1,0
2026-01-01 06:15:00+00:00,125.978,6,3,1,0
2026-01-01 06:30:00+00:00,116.678,6,3,1,0
2026-01-01 06:45:00+00:00,125.96,6,3,1,0
2026-01-01 07:00:00+00:00,122.119,7,3,1,0
2026-01-01 07:15:00+00:00,117.354,7,3,1,0
2026-01-01 07:30:00+00:00,122.042,7,3,1,0
2026-01-01 07:45:00+00:00,117.595,7,3,1,0
2026-01-01 08:00:00+00:00,118.613,8,3,1,0
2026-01-01 08:15:00+00:00,116.082,8,3,1,0
2026-01-01 08:30:00+00:00,121.644,8,3,1,0
2026-01-01 08:45:00+00:00,118.381,8,3,1,0
2026-01-01 09:00:00+00:00,120.996,9,3,1,0
2026-01-01 09:15:00+00:00,121.909,9,3,1,0
2026-01-01 09:30:00+00:00,128.981,9,3,1,0
2026-01-01 09:45:00+00:00,120.461,9,3,1,0
2026-01-01 10:00:00+00:00,125.509,10,3,1,0
2026-01-01 10:15:00+00:00,120.758,10,3,1,0
2026-01-01 10:30:00+00:00,115.663,10,3,1,0
2026-01-01 10:45:00+00:00,114.705,10,3,1,0
2026-01-01 11:00:00+00:00,117.116,11,3,1,0
2026-01-01 11:15:00+00:00,124.847,11,3,1,0
2026-01-01 11:30:00+00:00,123.97,11,3,1,0
2026-01-01 11:45:00+00:00,111.372,11,3,1,0
2026-01-01 12:00:00+00:00,115.547,12,3,1,0
2026-01-01 12:15:00+00:00,113.488,12,3,1,0
2026-01-01 12:30:00+00:00,125.917,12,3,1,0
2026-01-01 12:45:00+00:00,120.033,12,3,1,0
2026-01-01 13:00:00+00:00,125.105,13,3,1,0
2026-01-01 13:15:00+00:00,110.661,13,3,1,0
2026-01-01 13:30:00+00:00,124.218,13,3,1,0
2026-01-01 13:45:00+00:00,117.257,13,3,1,0
2026-01-01 14:00:00+00:00,107.815,14,3,1,0
2026-01-01 14:15:00+00:00,122.757,14,3,1,0
2026-01-01 14:30:00+00:00,117.941,14,3,1,0
2026-01-01 14:45:00+00:00,111.625,14,3,1,0
2026-01-01 15:00:00+00:00,121.613,15,3,1,0
