hour,mean_load,std_load
0,119.17807142857143,4.504512691435288
1,118.37117857142857,4.1461745425514325
2,119.18296428571429,3.647291491079303
3,120.65092857142858,5.673261430074258
4,119.37928571428571,4.712346052949776
5,118.42399999999999,5.070897648638058
6,120.3587857142857,4.684818739188058
7,120.16946428571428,3.525921161301581
8,119.44682142857143,3.516055007929066
9,121.96692857142857,4.170797818062322
10,120.46728571428571,4.754338446460459
11,119.31585714285714,5.346599041649682
12,119.87557142857143,4.196416985146675
13,119.03475,4.900227875464721
14,118.77142857142857,4.717203875402927
15,120.20775,3.7098850997980644
16,118.35417857142856,4.0596662064352
17,120.07775000000001,5.0621775041313315
18,118.30435714285714,6.053024852726514
19,120.51707142857143,5.210716272143693
20,119.47314285714286,3.7784373481177065
21,119.56228571428572,4.096424501088933
22,118.98257142857143,4.345347332395126
23,118.16364285714285,3.972525898703873
