metric,policy,domain,value
success_rate,pi_base,sim,0.912
success_rate,pi_new,sim,0.941
cycle_time_s,pi_base,sim,2.31
cycle_time_s,pi_new,sim,2.05
collision_count,pi_base,sim,0.12
collision_count,pi_new,sim,0.11
energy_kwh,pi_base,sim,0.45
energy_kwh,pi_new,sim,0.43
line_stop_events,pi_base,sim,0.02
line_stop_events,pi_new,sim,0.03
safety_intervention_rate,pi_base,sim,0.004
safety_intervention_rate,pi_new,sim,0.018
edge_case_fail_rate,pi_base,sim,0.061
edge_case_fail_rate,pi_new,sim,0.112
human_rating_1_5,pi_base,sim,4.1
human_rating_1_5,pi_new,sim,4.3
success_rate,pi_base,real,0.883
success_rate,pi_new,real,0.905
cycle_time_s,pi_base,real,2.45
cycle_time_s,pi_new,real,2.18
collision_count,pi_base,real,0.19
collision_count,pi_new,real,0.17
energy_kwh,pi_base,real,0.52
energy_kwh,pi_new,real,0.48
line_stop_events,pi_base,real,0.05
line_stop_events,pi_new,real,0.08
safety_intervention_rate,pi_base,real,0.009
safety_intervention_rate,pi_new,real,0.031
edge_case_fail_rate,pi_base,real,0.074
edge_case_fail_rate,pi_new,real,0.138
human_rating_1_5,pi_base,real,3.9
human_rating_1_5,pi_new,real,4.0
