island_id,area_km2,species_richness,log_area,log_richness,predicted_linear,residuals
0,1.983,14,0.6846108495376589,2.6390573296152584,16.630254974688935,-2.6302549746889348
1,2.247,16,0.8095959932031921,2.772588722239781,17.09397109481011,-1.0939710948101116
2,3.661,21,1.2977363341380992,3.044522437723423,19.03231072329922,1.9676892767007814
3,2.002,33,0.6941466808930288,3.4965075614664802,16.66518688736683,16.33481311263317
4,1.38,15,0.3220834991691132,2.70805020110221,15.355162276855177,-0.355162276855177
5,4.937,18,1.596757859276726,2.8903717578961645,20.326713114513602,-2.326713114513602
6,4.211,19,1.4377001491797907,2.9444389791664403,19.62759083034326,-0.6275908303432587
7,0.57,13,-0.5621189181535413,2.5649493574615367,12.640278786734171,0.3597212132658285
8,1.345,16,0.2963940130538024,2.772588722239781,15.268607291102704,0.731392708897296
9,4.779,19,1.5642313195960211,2.9444389791664403,20.181748854040098,-1.181748854040098
10,1.227,14,0.20457216572877446,2.6390573296152584,14.963203382092297,-0.9632033820922974
11,3.765,17,1.325747861251857,2.833213344056216,19.1499836658021,-2.1499836658021003
12,4.57,21,1.5195132049061133,3.044522437723423,19.984135406717634,1.015864593282366
13,2.707,14,0.9958410106321641,2.6390573296152584,17.80907037119548,-3.8090703711954816
14,3.301,19,1.194225452871056,2.9444389791664403,18.603712721373483,0.3962872786265166
15,3.542,16,1.2646915393606417,2.772588722239781,18.894422946901308,-2.894422946901308
16,3.245,17,1.1771153501560534,2.833213344056216,18.53380194571635,-1.5338019457163483
17,3.546,43,1.2658202076520162,3.7612001156935624,18.89911608208702,24.10088391791298
18,0.75,11,-0.2876820724517809,2.3978952727983707,13.4271204574477,-2.4271204574476997
19,3.355,17,1.210451770423645,2.833213344056216,18.67025602020447,-1.6702560202044694
20,5.132,19,1.63549544675339,2.9444389791664403,20.500717892854833,-1.5007178928548335
21,5.324,20,1.672224900532865,2.995732273553991,20.667077888723103,-0.667077888723103
22,3.898,16,1.360463601085369,2.772588722239781,19.29683025019721,-3.2968302501972104
23,2.608,16,0.9585836440644065,2.772588722239781,17.663663955472536,-1.6636639554725363
24,2.369,19,0.8624679251766485,2.9444389791664403,17.2940061418734,1.7059938581266003
