quarter,inflation_yoy,reit_index_return,residuals,fitted
0,2.162,0.4107,0.060371429801508725,0.3503285701984913
1,1.609,0.2674,0.0031811669730339998,0.264218833026966
2,1.968,0.2733,-0.04682009097376094,0.32012009097376093
3,2.185,0.2863,-0.06760998783853667,0.35390998783853667
4,2.824,0.5403,0.08688888729237715,0.45341111270762285
5,2.266,0.3635,-0.003022806483913787,0.3665228064839138
6,1.785,0.304,0.012375536336165172,0.2916244636638348
7,1.899,0.3426,0.033224161946375175,0.30937583805362484
8,1.444,0.3299,0.09137394569509855,0.23852605430490148
9,1.976,0.2702,-0.05116580145725497,0.32136580145725496
10,1.89,0.2372,-0.07077441375969404,0.30797441375969403
11,2.632,0.4424,0.018885938896234022,0.423514061103766
12,3.177,0.4789,-0.02947808779179728,0.5083780877917973
13,3.416,0.5387,-0.006893688486181548,0.5455936884861815
14,2.732,0.5204,0.08131455785255848,0.4390854421474415
15,1.487,0.2041,-0.04112174815368197,0.24522174815368197
16,2.023,0.2728,-0.05588435054778246,0.32868435054778244
17,2.768,0.4158,-0.02889113932316456,0.44469113932316456
18,2.678,0.4088,-0.021876896383856703,0.4306768963838567
19,2.987,0.4664,-0.012392463808813925,0.4787924638088139
20,2.402,0.3918,0.004100115296687523,0.38769988470331246
21,1.103,0.1606,-0.024827644945968147,0.18542764494596814
22,2.843,0.452,-0.004369675105921178,0.4563696751059212
23,2.69,0.4632,0.030654537890902278,0.4325454621090977
24,0.996,0.2229,0.05413373277076455,0.16876626722923543
25,3.577,0.623,0.052336388033500936,0.5706636119664991
26,3.081,0.4944,0.0009704380101311916,0.4934295619898688
27,4.177,0.6434,-0.020691898228551775,0.6640918982285517
28,2.477,0.375,-0.024378420486068975,0.399378420486069
29,1.681,0.2877,0.012269772621587682,0.27543022737841233
30,1.167,0.2273,0.03190667118607954,0.19539332881392046
31,2.585,0.3924,-0.023795512013238485,0.4161955120132385
32,2.326,0.2948,-0.08106563511011905,0.37586563511011906
33,3.196,0.5097,-0.0016366501900955122,0.5113366501900956
34,2.371,0.3636,-0.019272756579773065,0.38287275657977304
35,0.654,0.1424,0.026887855940134653,0.11551214405986535
36,2.992,0.5838,0.10422896713900237,0.4795710328609976
37,2.272,0.3149,-0.05255708934653425,0.36745708934653426
38,2.17,0.3302,-0.021374280681985325,0.3515742806819853
39,1.72,0.2863,0.004796934014554222,0.2815030659854458
