timestamp_utc,forecast_mean,forecast_max,forecast_min
2026-01-08,121.20491145833334,131.64305468855235,109.10470851134117
2026-01-09,120.26256770833334,130.6195564794116,108.25644139968556
2026-01-10,121.73359895833336,132.21727265248018,109.58061575707123
2026-01-11,122.03431770833333,132.54388924231802,109.85131296866007
2026-01-12,121.75525520833335,132.2407939344876,109.60011000705887
2026-01-13,122.45104687500002,132.99650704317898,110.22643897395378
2026-01-14,122.70613020833335,133.27355810320702,110.45605667173992
2026-01-15,123.4304791666667,134.0602878519289,111.10809198127126
2026-01-16,122.48813541666668,133.03678964278816,110.25982486961563
2026-01-17,123.9591666666667,134.63450581585673,111.58399922700131
2026-01-18,124.25988541666669,134.9611224056946,111.85469643859015
2026-01-19,123.9808229166667,134.65802709786416,111.60349347698894
2026-01-20,124.67661458333336,135.41374020655553,112.22982244388385
2026-01-21,124.93169791666669,135.69079126658357,112.45944014166999
2026-01-22,125.65604687500004,136.47752101530548,113.11147545120133
2026-01-23,124.71370312500004,135.45402280616474,112.26320833954571
2026-01-24,126.18473437500005,137.05173897923328,113.58738269693139
2026-01-25,126.48545312500003,137.37835556907115,113.85807990852022
2026-01-26,126.20639062500005,137.07526026124074,113.60687694691903
2026-01-27,126.9021822916667,137.83097336993208,114.23320591381392
2026-01-28,127.15726562500004,138.10802442996015,114.46282361160006
2026-01-29,127.88161458333339,138.89475417868204,115.1148589211314
2026-01-30,126.93927083333338,137.8712559695413,114.26659180947578
2026-01-31,128.41030208333342,139.46897214260986,115.59076616686147
2026-02-01,128.71102083333338,139.7955887324477,115.8614633784503
2026-02-02,128.4319583333334,139.4924934246173,115.6102604168491
2026-02-03,129.12775000000005,140.24820653330863,116.23658938374399
2026-02-04,129.3828333333334,140.5252575933367,116.46620708153014
2026-02-05,130.10718229166673,141.3119873420586,117.11824239106147
2026-02-06,129.1648385416667,140.28848913291782,116.26997527940584
