month,forecast_avg,forecast_peak,forecast_min
1,119.40317770493317,137.0150355822228,98.57535937657433
2,117.0116766520353,135.41165862636123,95.31476724515404
3,109.96422100260513,126.97025384309408,90.19657690098298
4,105.11906222401748,121.44543992767983,85.10770832497897
5,107.45132684982481,124.06781796616659,86.49729079113634
6,113.50268712712065,131.69997164725112,92.14690912391048
7,121.77514818267991,140.7964120107755,97.83838451303
8,125.40139126100306,144.99499448311542,102.23120306107977
9,117.0805382419493,133.0860009601292,94.97006079763162
10,109.83537019191733,125.08417637436112,88.33743289809057
11,113.54423046745805,134.47665101072258,90.95574614991145
12,119.50087762465118,137.24746167580636,95.8672073751001
