timestamp_utc,load_mw
2026-01-01T00:00:00Z,117.221
2026-01-01T00:15:00Z,119.945
2026-01-01T00:30:00Z,112.981
2026-01-01T00:45:00Z,116.926
2026-01-01T01:00:00Z,118.181
2026-01-01T01:15:00Z,117.634
2026-01-01T01:30:00Z,108.708
2026-01-01T01:45:00Z,109.703
2026-01-01T02:00:00Z,119.72
2026-01-01T02:15:00Z,128.163
2026-01-01T02:30:00Z,122.399
2026-01-01T02:45:00Z,121.203
2026-01-01T03:00:00Z,119.081
2026-01-01T03:15:00Z,112.408
2026-01-01T03:30:00Z,124.11
2026-01-01T03:45:00Z,118.757
2026-01-01T04:00:00Z,114.51
2026-01-01T04:15:00Z,107.875
2026-01-01T04:30:00Z,119.882
2026-01-01T04:45:00Z,124.646
2026-01-01T05:00:00Z,119.197
2026-01-01T05:15:00Z,99.074
2026-01-01T05:30:00Z,116.705
2026-01-01T05:45:00Z,123.687
2026-01-01T06:00:00Z,121.406
2026-01-01T06:15:00Z,125.978
2026-01-01T06:30:00Z,116.678
2026-01-01T06:45:00Z,125.96
2026-01-01T07:00:00Z,122.119
2026-01-01T07:15:00Z,117.354
2026-01-01T07:30:00Z,122.042
2026-01-01T07:45:00Z,117.595
2026-01-01T08:00:00Z,118.613
2026-01-01T08:15:00Z,116.082
2026-01-01T08:30:00Z,121.644
2026-01-01T08:45:00Z,118.381
2026-01-01T09:00:00Z,120.996
2026-01-01T09:15:00Z,121.909
2026-01-01T09:30:00Z,128.981
2026-01-01T09:45:00Z,120.461
2026-01-01T10:00:00Z,125.509
2026-01-01T10:15:00Z,120.758
2026-01-01T10:30:00Z,115.663
2026-01-01T10:45:00Z,114.705
2026-01-01T11:00:00Z,117.116
2026-01-01T11:15:00Z,124.847
2026-01-01T11:30:00Z,123.97
2026-01-01T11:45:00Z,111.372
2026-01-01T12:00:00Z,115.547
2026-01-01T12:15:00Z,113.488
2026-01-01T12:30:00Z,125.917
2026-01-01T12:45:00Z,120.033
2026-01-01T13:00:00Z,125.105
2026-01-01T13:15:00Z,110.661
2026-01-01T13:30:00Z,124.218
2026-01-01T13:45:00Z,117.257
2026-01-01T14:00:00Z,107.815
2026-01-01T14:15:00Z,122.757
2026-01-01T14:30:00Z,117.941
2026-01-01T14:45:00Z,111.625
2026-01-01T15:00:00Z,121.613
2026-01-01T15:15:00Z,125.531
2026-01-01T15:30:00Z,120.845
2026-01-01T15:45:00Z,113.444
2026-01-01T16:00:00Z,122.484
2026-01-01T16:15:00Z,115.625
2026-01-01T16:30:00Z,126.015
2026-01-01T16:45:00Z,115.575
2026-01-01T17:00:00Z,123.337
2026-01-01T17:15:00Z,120.115
2026-01-01T17:30:00Z,128.397
2026-01-01T17:45:00Z,111.123
2026-01-01T18:00:00Z,122.801
2026-01-01T18:15:00Z,119.742
2026-01-01T18:30:00Z,113.367
2026-01-01T18:45:00Z,127.952
2026-01-01T19:00:00Z,125.537
2026-01-01T19:15:00Z,121.129
2026-01-01T19:30:00Z,125.537
2026-01-01T19:45:00Z,118.037
2026-01-01T20:00:00Z,119.095
2026-01-01T20:15:00Z,123.886
2026-01-01T20:30:00Z,119.023
2026-01-01T20:45:00Z,113.886
2026-01-01T21:00:00Z,123.514
2026-01-01T21:15:00Z,115.992
2026-01-01T21:30:00Z,119.187
2026-01-01T21:45:00Z,131.101
2026-01-01T22:00:00Z,114.652
2026-01-01T22:15:00Z,135.346
2026-01-01T22:30:00Z,118.919
2026-01-01T22:45:00Z,119.921
2026-01-01T23:00:00Z,119.377
2026-01-01T23:15:00Z,124.252
2026-01-01T23:30:00Z,128.26
2026-01-01T23:45:00Z,116.486
2026-01-02T00:00:00Z,118.381
2026-01-02T00:15:00Z,118.269
2026-01-02T00:30:00Z,127.446
2026-01-02T00:45:00Z,123.278
2026-01-02T01:00:00Z,114.856
2026-01-02T01:15:00Z,120.406
2026-01-02T01:30:00Z,121.817
2026-01-02T01:45:00Z,125.458
2026-01-02T02:00:00Z,112.103
2026-01-02T02:15:00Z,120.827
2026-01-02T02:30:00Z,119.632
2026-01-02T02:45:00Z,118.344
2026-01-02T03:00:00Z,124.433
2026-01-02T03:15:00Z,123.428
2026-01-02T03:30:00Z,119.226
2026-01-02T03:45:00Z,112.196
2026-01-02T04:00:00Z,121.076
2026-01-02T04:15:00Z,116.685
2026-01-02T04:30:00Z,118.689
2026-01-02T04:45:00Z,125.773
2026-01-02T05:00:00Z,113.576
2026-01-02T05:15:00Z,115.582
2026-01-02T05:30:00Z,112.712
2026-01-02T05:45:00Z,123.561
2026-01-02T06:00:00Z,121.739
2026-01-02T06:15:00Z,116.631
2026-01-02T06:30:00Z,121.5
2026-01-02T06:45:00Z,115.134
2026-01-02T07:00:00Z,125.74
2026-01-02T07:15:00Z,122.915
2026-01-02T07:30:00Z,123.854
2026-01-02T07:45:00Z,121.816
2026-01-02T08:00:00Z,124.805
2026-01-02T08:15:00Z,124.255
2026-01-02T08:30:00Z,116.683
2026-01-02T08:45:00Z,119.466
2026-01-02T09:00:00Z,120.593
2026-01-02T09:15:00Z,117.988
2026-01-02T09:30:00Z,118.809
2026-01-02T09:45:00Z,116.806
2026-01-02T10:00:00Z,124.882
2026-01-02T10:15:00Z,123.551
2026-01-02T10:30:00Z,122.771
2026-01-02T10:45:00Z,122.08
2026-01-02T11:00:00Z,130.071
2026-01-02T11:15:00Z,115.025
2026-01-02T11:30:00Z,118.927
2026-01-02T11:45:00Z,124.477
2026-01-02T12:00:00Z,116.724
2026-01-02T12:15:00Z,119.074
2026-01-02T12:30:00Z,125.079
2026-01-02T12:45:00Z,134.008
2026-01-02T13:00:00Z,122.252
2026-01-02T13:15:00Z,113.726
2026-01-02T13:30:00Z,126.219
2026-01-02T13:45:00Z,118.52
2026-01-02T14:00:00Z,128.126
2026-01-02T14:15:00Z,116.438
2026-01-02T14:30:00Z,121.07
2026-01-02T14:45:00Z,119.516
2026-01-02T15:00:00Z,118.112
2026-01-02T15:15:00Z,116.194
2026-01-02T15:30:00Z,116.45
2026-01-02T15:45:00Z,118.135
2026-01-02T16:00:00Z,125.614
2026-01-02T16:15:00Z,121.078
2026-01-02T16:30:00Z,119.558
2026-01-02T16:45:00Z,116.356
2026-01-02T17:00:00Z,121.845
2026-01-02T17:15:00Z,121.113
2026-01-02T17:30:00Z,131.688
2026-01-02T17:45:00Z,109.422
2026-01-02T18:00:00Z,121.907
2026-01-02T18:15:00Z,123.173
2026-01-02T18:30:00Z,127.698
2026-01-02T18:45:00Z,125.408
2026-01-02T19:00:00Z,117.272
2026-01-02T19:15:00Z,117.678
2026-01-02T19:30:00Z,116.267
2026-01-02T19:45:00Z,124.937
2026-01-02T20:00:00Z,117.45
2026-01-02T20:15:00Z,117.257
2026-01-02T20:30:00Z,123.937
2026-01-02T20:45:00Z,115.793
2026-01-02T21:00:00Z,117.564
2026-01-02T21:15:00Z,124.573
2026-01-02T21:30:00Z,125.221
2026-01-02T21:45:00Z,118.121
2026-01-02T22:00:00Z,123.143
2026-01-02T22:15:00Z,124.018
2026-01-02T22:30:00Z,116.152
2026-01-02T22:45:00Z,115.627
2026-01-02T23:00:00Z,121.825
2026-01-02T23:15:00Z,114.827
2026-01-02T23:30:00Z,122.017
2026-01-02T23:45:00Z,118.739
2026-01-03T00:00:00Z,110.831
2026-01-03T00:15:00Z,117.444
2026-01-03T00:30:00Z,119.802
2026-01-03T00:45:00Z,114.36
2026-01-03T01:00:00Z,122.121
2026-01-03T01:15:00Z,117.989
2026-01-03T01:30:00Z,107.165
2026-01-03T01:45:00Z,120.183
