pressure_kPa,flame_speed_cm_s,flame_speed_diff
82.403,32.576,13.0029
83.291,32.4578,-0.11820000000000164
84.179,32.2296,-0.22820000000000107
85.067,32.1187,-0.11090000000000089
85.955,32.5352,0.4165000000000063
86.843,31.6652,-0.8700000000000045
87.731,31.6117,-0.05349999999999966
88.619,31.6502,0.03850000000000264
89.507,31.2738,-0.3764000000000003
90.396,31.5618,0.28800000000000026
91.284,31.1149,-0.44690000000000296
92.172,30.7405,-0.37439999999999785
93.06,31.0598,0.31929999999999836
93.948,30.8635,-0.1963000000000008
94.836,30.4686,-0.3948999999999998
95.724,30.4387,-0.029899999999997817
96.612,30.3666,-0.0721000000000025
97.5,30.0662,-0.3003999999999998
