pressure_kPa,flame_speed_cm_s,flame_speed_diff
38.0,40.0661,
38.888,39.3117,-0.7543999999999969
39.776,38.5351,-0.776600000000002
40.664,37.5782,-0.9568999999999974
41.552,36.8004,-0.7777999999999992
42.44,36.2826,-0.5178000000000011
43.328,35.2759,-1.0067000000000021
44.216,34.6898,-0.5861000000000018
45.104,34.1571,-0.5326999999999984
45.993,33.6413,-0.5157999999999987
46.881,32.6766,-0.9647000000000006
47.769,32.3785,-0.29809999999999803
48.657,31.5924,-0.7861000000000011
49.545,31.1796,-0.4128000000000007
50.433,30.9588,-0.22080000000000055
51.321,30.2888,-0.6700000000000017
52.209,30.1568,-0.1319999999999979
53.097,29.3441,-0.8126999999999995
53.985,29.1029,-0.2411999999999992
54.873,28.6335,-0.46940000000000026
55.761,28.0511,-0.5823999999999998
56.649,27.383,-0.6681000000000026
57.537,27.23,-0.1529999999999987
58.425,26.7614,-0.4686000000000021
59.313,26.3821,-0.3792999999999971
60.201,26.1669,-0.21520000000000294
61.09,25.4957,-0.6711999999999989
61.978,25.2708,-0.2248999999999981
62.866,24.9126,-0.3582000000000001
63.754,24.7429,-0.1697000000000024
64.642,24.3277,-0.4151999999999987
65.53,24.0368,-0.2909000000000006
66.418,23.9086,-0.12819999999999965
67.306,23.5043,-0.4042999999999992
68.194,23.3138,-0.1905000000000001
69.082,22.8164,-0.49739999999999895
69.97,22.6074,-0.20900000000000318
70.858,22.9216,0.31420000000000314
71.746,22.1206,-0.8010000000000019
72.634,21.5917,-0.5289000000000001
73.522,21.8403,0.2485999999999997
74.41,21.3949,-0.44539999999999935
75.299,21.3555,-0.039400000000000546
76.187,21.0643,-0.2911999999999999
77.075,20.9729,-0.09140000000000015
77.963,20.6287,-0.3442000000000007
78.851,20.3939,-0.2347999999999999
79.739,20.464,0.07010000000000005
80.627,19.5905,-0.8734999999999999
81.515,19.5731,-0.017399999999998528
82.403,32.576,13.0029
83.291,32.4578,-0.11820000000000164
84.179,32.2296,-0.22820000000000107
85.067,32.1187,-0.11090000000000089
85.955,32.5352,0.4165000000000063
86.843,31.6652,-0.8700000000000045
87.731,31.6117,-0.05349999999999966
88.619,31.6502,0.03850000000000264
89.507,31.2738,-0.3764000000000003
90.396,31.5618,0.28800000000000026
91.284,31.1149,-0.44690000000000296
92.172,30.7405,-0.37439999999999785
93.06,31.0598,0.31929999999999836
93.948,30.8635,-0.1963000000000008
94.836,30.4686,-0.3948999999999998
95.724,30.4387,-0.029899999999997817
96.612,30.3666,-0.0721000000000025
97.5,30.0662,-0.3003999999999998
