store_id,month,year,ad_spend_usd,sales_revenue_usd,is_holiday_month,foot_traffic,local_population,competitor_count,ad_to_sales_ratio,sales_per_traffic,year_month,prior_month_sales,prior_month_ad,implied_ad_ratio
1,1,1,19862.28,509917.05,1,5121,36680,5,0.03895198248420993,99.57372583479788,101,,,
1,2,1,4540.95,215378.98,0,2279,46022,8,0.02108353377845879,94.50591487494516,102,509917.05,19862.28,0.008905271945701756
1,3,1,5119.94,234701.17,0,2458,52035,3,0.021814718691006096,95.48460943856794,103,215378.98,4540.95,0.02377177197143379
1,4,1,5205.0,228554.95,0,2987,38125,8,0.022773516828228833,76.51655507197857,104,234701.17,5119.94,0.022177136995098917
1,5,1,4074.88,235396.95,0,3151,44600,3,0.017310674586055598,74.70547445255475,105,228554.95,5205.0,0.017828885351203288
1,6,1,4408.9,226449.27,0,2738,41573,7,0.019469702861042562,82.70608838568297,106,235396.95,4074.88,0.018729639445200966
1,7,1,7536.0,260208.65,0,2946,48301,7,0.02896137388207502,88.32608621860149,107,226449.27,4408.9,0.03327897678804617
1,8,1,5508.96,241849.24,0,2595,38489,6,0.02277848795390054,93.19816570327552,108,260208.65,7536.0,0.021171317709845542
1,9,1,5546.27,242073.29,0,2754,38278,4,0.02291153228842389,87.89879811183734,109,241849.24,5508.96,0.022932757613792792
1,10,1,5072.09,236104.61,0,3017,39675,3,0.021482384439676976,78.25807424593967,110,242073.29,5546.27,0.02095270403438562
1,11,1,19854.12,525356.03,1,5087,51971,6,0.037791742868165036,103.27423432278357,111,236104.61,5072.09,0.08409035300073132
1,12,1,17252.41,491541.59,1,5115,50050,2,0.03509857629748075,96.09806256109482,112,525356.03,19854.12,0.03283946317319323
1,1,2,20591.69,521771.63,1,4811,39888,2,0.0394649475288643,108.45388276865516,201,491541.59,17252.41,0.041892060445993994
1,2,2,4228.88,229414.56,0,3187,31537,2,0.01843335488383998,71.98448697834955,202,521771.63,20591.69,0.00810484847556775
1,3,2,4595.31,226056.9,0,3034,50689,7,0.020328112081515762,74.5078773895847,203,229414.56,4228.88,0.020030594396449816
1,4,2,3338.56,207570.38,0,3143,43469,4,0.016083990403640443,66.04211899459116,204,226056.9,4595.31,0.014768671073521755
1,5,2,5808.12,230055.45,0,2432,48977,8,0.02524660902404181,94.59516858552632,205,207570.38,3338.56,0.027981448990939843
1,6,2,4628.86,230734.57,0,2863,50004,4,0.020061406489716733,80.59188613342648,206,230055.45,5808.12,0.020120627440036738
1,7,2,3406.89,210408.49,0,2535,42095,2,0.01619178959936455,83.00137672583826,207,230734.57,4628.86,0.01476540771502077
1,8,2,5478.88,236334.76,0,2612,45099,2,0.023182709136819316,90.48038284839204,208,210408.49,3406.89,0.02603925345407878
1,9,2,4788.58,219152.26,0,3066,44212,3,0.021850470535873093,71.4782322243966,209,236334.76,5478.88,0.020261852297986126
