store_id,avg_ad_spend,total_ad_spend,avg_sales,total_sales,avg_traffic,avg_competitors
1,8235.268333333333,296469.66,296918.8788888889,10689079.64,3294.4444444444443,4.833333333333333
2,8266.394166666667,297590.19,302559.5752777778,10892144.71,3470.6111111111113,5.166666666666667
3,8750.994444444445,315035.8,301856.0825,10866818.97,3341.6388888888887,4.833333333333333
4,8504.504444444445,306162.16000000003,297936.7825,10725724.17,3308.9166666666665,5.222222222222222
5,8543.130277777778,307552.69,298688.9688888889,10752802.88,3256.222222222222,4.583333333333333
6,8200.610277777778,295221.97,297545.2816666667,10711630.14,3303.8888888888887,5.305555555555555
7,8298.051944444444,298729.87,301300.64194444445,10846823.11,3360.777777777778,4.916666666666667
8,8439.284444444444,303814.24,298541.7247222222,10747502.09,3207.0833333333335,5.138888888888889
9,8364.390833333333,301118.07,300206.8913888889,10807448.09,3314.3333333333335,5.138888888888889
10,8611.776944444444,310023.97,296944.53444444446,10690003.24,3209.9444444444443,4.861111111111111
11,8508.271666666667,306297.78,297351.44416666665,10704651.99,3175.1666666666665,5.0
12,8421.788055555555,303184.37,297327.84055555554,10703802.26,3313.75,5.111111111111111
13,8057.301944444444,290062.87,294559.58194444445,10604144.95,3366.1666666666665,4.527777777777778
14,8365.9375,301173.75,299028.0780555556,10765010.81,3324.6944444444443,4.75
15,8437.3975,303746.31,301673.1538888889,10860233.54,3357.8333333333335,4.361111111111111
16,8574.701944444445,308689.27,305016.78944444447,10980604.42,3448.8888888888887,4.916666666666667
17,8083.600555555556,291009.62,295744.3552777778,10646796.790000001,3353.6388888888887,5.416666666666667
18,8495.21611111111,305827.77999999997,302200.86583333334,10879231.17,3364.0555555555557,4.583333333333333
19,8507.973055555556,306287.03,301687.74583333335,10860758.85,3313.277777777778,4.472222222222222
20,8259.982777777777,297359.38,299497.2961111111,10781902.66,3414.5833333333335,4.777777777777778
21,8174.586111111111,294285.1,295247.6305555555,10628914.7,3282.6944444444443,5.25
22,8702.015277777777,313272.55,305152.52777777775,10985491.0,3453.4444444444443,5.222222222222222
23,8432.539722222222,303571.43,301919.69583333336,10869109.05,3381.1111111111113,5.361111111111111
24,8257.321944444446,297263.59,298483.61250000005,10745410.05,3390.777777777778,5.055555555555555
25,8091.837777777777,291306.16,295729.25694444444,10646253.25,3326.6944444444443,4.861111111111111
26,8255.8875,297211.95,299494.5175,10781802.63,3312.222222222222,4.694444444444445
27,8479.018888888888,305244.68,300765.7858333333,10827568.29,3454.6111111111113,5.25
28,7948.018333333334,286128.66000000003,294360.54805555556,10596979.73,3317.472222222222,5.888888888888889
29,8240.110555555555,296643.98,297258.69861111115,10701313.15,3305.3333333333335,5.055555555555555
30,8276.75611111111,297963.22,296781.09194444446,10684119.31,3246.1111111111113,4.861111111111111
31,8472.838333333333,305022.18,299978.5375,10799227.35,3287.722222222222,4.722222222222222
32,8243.202222222222,296755.28,297290.0252777778,10702440.91,3327.6666666666665,5.0
33,8533.0,307188.0,302401.6238888889,10886458.46,3397.8888888888887,4.444444444444445
34,8604.573888888888,309764.66,302704.6933333333,10897368.959999999,3367.3888888888887,4.694444444444445
35,8541.626666666667,307498.56,299658.07944444445,10787690.86,3262.722222222222,5.388888888888889
36,8177.275833333333,294381.93,298627.1836111111,10750578.61,3461.277777777778,5.055555555555555
37,8851.290555555555,318646.46,308519.5025,11106702.09,3509.472222222222,4.805555555555555
38,8188.699166666666,294793.17,297360.65694444446,10704983.65,3381.3333333333335,4.333333333333333
39,8589.961944444445,309238.63,302696.5055555555,10897074.2,3374.6944444444443,4.5
40,8456.854166666666,304446.75,303047.8886111111,10909723.99,3353.1944444444443,4.805555555555555
41,8545.247222222222,307628.9,301454.1041666667,10852347.75,3334.6666666666665,5.111111111111111
42,8494.353055555555,305796.71,300457.1280555555,10816456.61,3329.6666666666665,5.166666666666667
43,8080.145277777778,290885.23,295169.0291666667,10626085.05,3413.527777777778,4.861111111111111
44,8715.864722222223,313771.13,304765.0275,10971540.99,3369.6388888888887,5.027777777777778
45,8623.377222222223,310441.58,301738.4944444445,10862585.8,3343.277777777778,4.694444444444445
46,8247.221666666666,296899.98,296068.6686111111,10658472.07,3364.8333333333335,4.555555555555555
47,8276.530833333332,297955.11,299462.6252777778,10780654.51,3432.6111111111113,4.666666666666667
48,7985.268611111111,287469.67,293638.4475,10570984.11,3329.5,4.305555555555555
49,8379.620555555557,301666.34,297326.5172222222,10703754.62,3238.0833333333335,5.361111111111111
50,8501.141388888887,306041.08999999997,301079.56861111114,10838864.47,3318.8055555555557,5.0
51,8640.5525,311059.89,301829.095,10865847.42,3272.222222222222,5.388888888888889
52,8047.348888888889,289704.56,297031.89166666666,10693148.1,3300.527777777778,5.555555555555555
53,8681.035833333333,312517.29,302302.805,10882900.98,3302.8888888888887,4.666666666666667
54,8244.755277777778,296811.19,299882.7075,10795777.47,3391.8333333333335,4.888888888888889
55,8238.189999999999,296574.83999999997,297068.83805555553,10694478.17,3306.5,5.166666666666667
56,8544.037777777778,307585.36,299674.21055555553,10788271.58,3321.777777777778,4.361111111111111
57,8231.84888888889,296346.56,293819.99055555556,10577519.66,3259.3055555555557,4.916666666666667
58,8196.415,295070.94,293775.9813888889,10575935.33,3401.0833333333335,5.111111111111111
59,8229.621111111112,296266.36,297564.06861111114,10712306.47,3365.6388888888887,5.027777777777778
60,8643.262777777778,311157.46,304918.71805555554,10977073.85,3406.972222222222,5.055555555555555
61,8285.382777777779,298273.78,298786.1847222222,10756302.65,3330.3055555555557,5.277777777777778
62,8339.423611111111,300219.25,301018.8094444445,10836677.14,3374.8611111111113,5.194444444444445
