station_id,lat,lon,depth_m,temperature_c,salinity_psu,pressure_dbar
ST0,-19.7649,41.4093,0.0,17.329,33.573,0.0
ST0,-19.7649,41.4093,52.63157894736842,16.836,33.365,5.3
ST0,-19.7649,41.4093,105.26315789473684,11.253,33.669,10.5
ST0,-19.7649,41.4093,157.89473684210526,7.955,33.771,15.8
ST0,-19.7649,41.4093,210.52631578947367,3.326,33.64,21.1
ST0,-19.7649,41.4093,263.1578947368421,3.144,33.685,26.3
ST0,-19.7649,41.4093,315.7894736842105,3.18,34.789,31.6
ST0,-19.7649,41.4093,368.4210526315789,3.309,34.802,36.8
ST0,-19.7649,41.4093,421.05263157894734,3.273,34.785,42.1
ST0,-19.7649,41.4093,473.6842105263158,3.079,34.833,47.4
ST0,-19.7649,41.4093,526.3157894736842,3.288,34.769,52.6
ST0,-19.7649,41.4093,578.9473684210526,3.255,34.815,57.9
ST0,-19.7649,41.4093,631.578947368421,3.175,34.83,63.2
ST0,-19.7649,41.4093,684.2105263157895,3.279,34.804,68.4
ST0,-19.7649,41.4093,736.8421052631578,3.302,34.81,73.7
ST0,-19.7649,41.4093,789.4736842105262,3.194,34.804,78.9
ST0,-19.7649,41.4093,842.1052631578947,3.221,34.794,84.2
ST0,-19.7649,41.4093,894.7368421052631,3.243,34.779,89.5
ST0,-19.7649,41.4093,947.3684210526316,3.22,34.805,94.7
ST0,-19.7649,41.4093,1000.0,3.015,34.776,100.0
ST1,-19.9328,40.9874,0.0,19.313,33.611,0.0
ST1,-19.9328,40.9874,52.63157894736842,19.091,33.807,5.3
ST1,-19.9328,40.9874,105.26315789473684,12.95,33.668,10.5
ST1,-19.9328,40.9874,157.89473684210526,9.322,33.79,15.8
ST1,-19.9328,40.9874,210.52631578947367,4.207,33.758,21.1
ST1,-19.9328,40.9874,263.1578947368421,3.898,33.48,26.3
ST1,-19.9328,40.9874,315.7894736842105,4.088,34.788,31.6
ST1,-19.9328,40.9874,368.4210526315789,4.066,34.809,36.8
ST1,-19.9328,40.9874,421.05263157894734,3.993,34.809,42.1
ST1,-19.9328,40.9874,473.6842105263158,4.148,34.801,47.4
ST1,-19.9328,40.9874,526.3157894736842,4.011,34.81,52.6
ST1,-19.9328,40.9874,578.9473684210526,4.121,34.808,57.9
ST1,-19.9328,40.9874,631.578947368421,4.23,34.772,63.2
ST1,-19.9328,40.9874,684.2105263157895,4.064,34.788,68.4
ST1,-19.9328,40.9874,736.8421052631578,4.142,34.79,73.7
ST1,-19.9328,40.9874,789.4736842105262,4.036,34.806,78.9
ST1,-19.9328,40.9874,842.1052631578947,4.084,34.782,84.2
ST1,-19.9328,40.9874,894.7368421052631,4.111,34.807,89.5
ST1,-19.9328,40.9874,947.3684210526316,3.956,34.797,94.7
ST1,-19.9328,40.9874,1000.0,3.912,34.783,100.0
ST2,-18.3183,41.8248,0.0,18.759,33.539,0.0
ST2,-18.3183,41.8248,52.63157894736842,18.386,33.748,5.3
ST2,-18.3183,41.8248,105.26315789473684,12.255,33.892,10.5
ST2,-18.3183,41.8248,157.89473684210526,8.633,33.818,15.8
ST2,-18.3183,41.8248,210.52631578947367,6.493,33.977,21.1
ST2,-18.3183,41.8248,263.1578947368421,5.229,34.008,26.3
ST2,-18.3183,41.8248,315.7894736842105,3.498,34.823,31.6
ST2,-18.3183,41.8248,368.4210526315789,3.262,34.794,36.8
ST2,-18.3183,41.8248,421.05263157894734,3.312,34.799,42.1
ST2,-18.3183,41.8248,473.6842105263158,3.395,34.82,47.4
ST2,-18.3183,41.8248,526.3157894736842,3.276,34.828,52.6
ST2,-18.3183,41.8248,578.9473684210526,3.298,34.801,57.9
ST2,-18.3183,41.8248,631.578947368421,3.534,34.821,63.2
ST2,-18.3183,41.8248,684.2105263157895,3.241,34.804,68.4
ST2,-18.3183,41.8248,736.8421052631578,3.468,34.804,73.7
ST2,-18.3183,41.8248,789.4736842105262,3.386,34.764,78.9
ST2,-18.3183,41.8248,842.1052631578947,3.421,34.801,84.2
ST2,-18.3183,41.8248,894.7368421052631,3.467,34.784,89.5
ST2,-18.3183,41.8248,947.3684210526316,3.39,34.794,94.7
ST2,-18.3183,41.8248,1000.0,3.452,34.796,100.0
ST3,-19.0772,41.9837,0.0,19.164,33.671,0.0
ST3,-19.0772,41.9837,52.63157894736842,18.881,33.529,5.3
ST3,-19.0772,41.9837,105.26315789473684,12.632,33.891,10.5
ST3,-19.0772,41.9837,157.89473684210526,8.94,33.934,15.8
ST3,-19.0772,41.9837,210.52631578947367,3.545,33.691,21.1
ST3,-19.0772,41.9837,263.1578947368421,3.418,33.782,26.3
