# Traveling wave profile for m=3, c=1.0
# xi f residual_fo residual_so
-1.000000000000000000e+01 3.107232505953858581e+00 -6.926511986636574303e-05 1.035741847304836316e-01
-9.979959919839679117e+00 3.105155478258768476e+00 -7.744291130595826189e-08 5.178689823610227450e-02
-9.959919839679358233e+00 3.103075668207017301e+00 -7.785913332114535734e-08 -3.892944846484169830e-07
-9.939879759519037350e+00 3.100993066461827485e+00 -7.827842637975201967e-08 -3.913864219384777243e-07
-9.919839679358718243e+00 3.098907663636188747e+00 -7.870083545968853400e-08 -3.935111720920758671e-07
-9.899799599198397360e+00 3.096819450292486842e+00 -7.912639730933701543e-08 -3.956514689207324409e-07
-9.879759519038076476e+00 3.094728416942127858e+00 -7.955513428581362234e-08 -3.977902309770797729e-07
-9.859719438877755593e+00 3.092634554045158968e+00 -7.998706047507297967e-08 -3.999284103883837815e-07
-9.839679358717434710e+00 3.090537852009885178e+00 -8.042219988568799494e-08 -4.021026711598096881e-07
-9.819639278557113826e+00 3.088438301192482527e+00 -8.086061675793843051e-08 -4.043193229108510423e-07
-9.799599198396792943e+00 3.086335891896607730e+00 -8.130234430137051049e-08 -4.065305887479553348e-07
-9.779559118236473836e+00 3.084230614373003831e+00 -8.174738237720635681e-08 -4.087361133997546858e-07
-9.759519038076152952e+00 3.082122458819103628e+00 -8.219576408396989109e-08 -4.109688944708977942e-07
-9.739478957915832069e+00 3.080011415378626882e+00 -8.264753469100494243e-08 -4.132396895784040680e-07
-9.719438877755511186e+00 3.077897474141174428e+00 -8.310274274281326257e-08 -4.155341883915752987e-07
-9.699398797595190302e+00 3.075780625141819602e+00 -8.356141457943611073e-08 -4.178100141416507540e-07
-9.679358717434869419e+00 3.073660858360694803e+00 -8.402354086112229226e-08 -4.201066730047386955e-07
-9.659318637274548536e+00 3.071538163722574932e+00 -8.448920284231942190e-08 -4.224490481874454417e-07
-9.639278557114227652e+00 3.069412531096452845e+00 -8.495842604427927824e-08 -4.248028204756337800e-07
-9.619238476953908545e+00 3.067283950295117467e+00 -8.543124513371580520e-08 -4.271642382036588970e-07
-9.599198396793587662e+00 3.065152411074722583e+00 -8.590768077465504859e-08 -4.295352766803262057e-07
-9.579158316633266779e+00 3.063017903134352959e+00 -8.638777095060223843e-08 -4.319406770036948728e-07
-9.559118236472945895e+00 3.060880416115586033e+00 -8.687157138087542307e-08 -4.343632014069953584e-07
-9.539078156312625012e+00 3.058739939602050484e+00 -8.735909659551843731e-08 -4.368009882682599709e-07
-9.519038076152304129e+00 3.056596463118978146e+00 -8.785040044034797546e-08 -4.392640988726270734e-07
-9.498997995991983245e+00 3.054449976132755040e+00 -8.834551204484064613e-08 -4.417299805936636403e-07
-9.478957915831664138e+00 3.052300468050463511e+00 -8.884445425183518097e-08 -4.442307357521713129e-07
-9.458917835671343255e+00 3.050147928219423044e+00 -8.934730198750795438e-08 -4.467384400186347193e-07
-9.438877755511022372e+00 3.047992345926726632e+00 -8.985403923689183614e-08 -4.492617478035754175e-07
-9.418837675350701488e+00 3.045833710398770933e+00 -9.036475399903931560e-08 -4.518321077284781495e-07
