# Traveling wave profile for m=4, c=1.0
# xi f residual_fo residual_so
-1.000000000000000000e+01 2.514866859365870955e+00 -4.730355975378353062e-05 9.430727140356773286e-02
-9.979959919839679117e+00 2.513605958062385959e+00 -5.553908882793834323e-08 4.715344078056915578e-02
-9.959919839679358233e+00 2.512343156378748610e+00 -5.584693531235362940e-08 -3.909176484739873558e-07
-9.939879759519037350e+00 2.511078447618419585e+00 -5.615710699236053927e-08 -3.931019136871327646e-07
-9.919839679358718243e+00 2.509811825047702172e+00 -5.646965213490506841e-08 -3.952987484012737696e-07
-9.899799599198397360e+00 2.508543281895462940e+00 -5.678456363455985922e-08 -3.974954410068676225e-07
-9.879759519038076476e+00 2.507272811352845299e+00 -5.710187732377303149e-08 -3.997108706244034693e-07
-9.859719438877755593e+00 2.506000406572983952e+00 -5.742160544275343170e-08 -4.019569672664147220e-07
-9.839679358717434710e+00 2.504726060670714460e+00 -5.774379634171378228e-08 -4.042215806521198829e-07
-9.819639278557113826e+00 2.503449766722278813e+00 -5.806845033984320281e-08 -4.064864924657740630e-07
-9.799599198396792943e+00 2.502171517765033659e+00 -5.839559766296353871e-08 -4.087729550406038470e-07
-9.779559118236473836e+00 2.500891306797147440e+00 -5.872526054329085810e-08 -4.110614213459484745e-07
-9.759519038076152952e+00 2.499609126777302404e+00 -5.905744962508840956e-08 -4.133926836402679328e-07
-9.739478957915832069e+00 2.498324970624389074e+00 -5.939222938455834822e-08 -4.157601338761196530e-07
-9.719438877755511186e+00 2.497038831217197608e+00 -5.972960417932604571e-08 -4.181275130576977972e-07
-9.699398797595190302e+00 2.495750701394110482e+00 -6.006960173721154206e-08 -4.204948140795750078e-07
-9.679358717434869419e+00 2.494460573952786309e+00 -6.041222656849587480e-08 -4.228734340472328768e-07
-9.659318637274548536e+00 2.493168441649846301e+00 -6.075751858569677921e-08 -4.253100414075561275e-07
-9.639278557114227652e+00 2.491874297200550981e+00 -6.110553110727501291e-08 -4.277596730162258609e-07
-9.619238476953908545e+00 2.490578133278480877e+00 -6.145625790210385020e-08 -4.301853664401278365e-07
-9.599198396793587662e+00 2.489279942515209676e+00 -6.180971427738324309e-08 -4.326766855911046150e-07
-9.579158316633266779e+00 2.487979717499973376e+00 -6.216598773256531985e-08 -4.351802829205553280e-07
-9.559118236472945895e+00 2.486677450779340326e+00 -6.252503831349898178e-08 -4.376597146915628400e-07
-9.539078156312625012e+00 2.485373134856874611e+00 -6.288691595246476140e-08 -4.402069464504165808e-07
-9.519038076152304129e+00 2.484066762192796318e+00 -6.325167736798142926e-08 -4.427803119710915780e-07
