timestamp,load,date,hour
2026-01-04 03:00:00+00:00,125.81225,2026-01-04,3
2026-01-05 19:00:00+00:00,125.11325,2026-01-05,19
2026-01-07 09:00:00+00:00,124.044,2026-01-07,9
2026-01-03 17:00:00+00:00,123.94924999999999,2026-01-03,17
2026-01-04 10:00:00+00:00,123.8975,2026-01-04,10
2026-01-04 14:00:00+00:00,123.809,2026-01-04,14
2026-01-07 20:00:00+00:00,123.57849999999999,2026-01-07,20
2026-01-06 06:00:00+00:00,123.5175,2026-01-06,6
2026-01-07 18:00:00+00:00,123.4995,2026-01-07,18
2026-01-05 13:00:00+00:00,123.45925,2026-01-05,13
2026-01-03 07:00:00+00:00,123.38725,2026-01-03,7
2026-01-03 09:00:00+00:00,123.14425,2026-01-03,9
2026-01-01 09:00:00+00:00,123.08675,2026-01-01,9
2026-01-07 15:00:00+00:00,123.01575,2026-01-07,15
2026-01-05 23:00:00+00:00,122.92025,2026-01-05,23
2026-01-06 11:00:00+00:00,122.89824999999999,2026-01-06,11
2026-01-01 02:00:00+00:00,122.87125,2026-01-01,2
2026-01-07 10:00:00+00:00,122.81625,2026-01-07,10
2026-01-06 10:00:00+00:00,122.8155,2026-01-06,10
2026-01-05 09:00:00+00:00,122.59925,2026-01-05,9
