frame,model_output
0,-0.1045986802401774
1,-0.18779740873941705
2,-0.12776131307490046
3,-0.05251613576360337
4,-0.2085989508559103
5,-0.3127733114048957
6,-0.3025460791515129
7,-0.3278454865389995
8,-0.32918957913934255
9,-0.39743309334522897
10,-0.3270812553562027
11,-0.26485790052188685
12,-0.25957544471698957
13,-0.1693961481595469
14,-0.13199540077938327
15,-0.20073879781004234
16,-0.1712387350834424
17,-0.2479493431497623
18,-0.17767331904518052
19,-0.18166739192408074
20,-0.19645638100770157
21,-0.2509307445600169
22,-0.15312743746609447
23,-0.16548979603159866
24,-0.19975602180464724
25,-0.2279267058437056
26,-0.18534197099943772
27,-0.15610644585031144
28,-0.12308783692263238
29,-0.08862215668200175
30,0.08270965138763514
31,0.050196450076865906
32,0.009217031751142912
33,-0.055884786508687306
34,-0.006606432702647658
35,0.08371135071502367
36,0.07459555410263366
37,0.0073830359456314165
38,-0.058575461309667745
39,-0.006528038283691653
40,0.052932295412583735
41,0.09638463687699933
42,0.04314386029390377
43,0.06171676613924135
44,0.0710516308704996
45,0.08854671860882063
46,0.1582610208446758
47,0.17614866474665036
48,0.23046174979240197
49,0.23586807535151327
50,0.258997627246712
51,0.3095006853137952
52,0.1929282197253419
53,0.1673545224167578
54,0.12972471007333414
55,0.0786144822138668
56,0.05660310211573211
57,0.1761984070144838
58,0.10693191775902433
59,0.18439418612634279
60,0.04976460439707839
61,0.022973801998216414
62,0.035994047206616864
63,0.08289183371535913
64,0.13978996009878752
65,0.20325773891478155
66,0.17535973313490655
67,0.13837158972174118
68,0.20700966022231349
69,0.19170531423178427
70,0.08965040836475052
71,-0.0010125687555279372
72,-0.07456875163565685
73,-0.034795892111355725
74,-0.023401833225710503
75,0.03183699509971094
76,-0.0023432166072118177
77,0.010339958678925315
78,0.06038719019631225
79,0.035639467018693194
80,0.07218148602328611
81,0.019227410737954004
82,-0.009816896987251744
83,-0.04035592850711807
84,-0.13602310015424124
85,-0.09706530169139468
86,-0.1346174889076126
87,-0.1336179594093976
88,-0.09515822669692489
89,-0.05943573261452936
90,-0.00620492389670646
91,-0.01408376265746035
92,-0.04794762762099265
93,-0.05432508449350458
94,-0.189311839210147
95,-0.30508083700399397
96,-0.4108968059923462
97,-0.49067655220046474
98,-0.4586946140625898
99,-0.5311329384913948
100,-0.5613859428145459
101,-0.45744767899166067
102,-0.48594879667657476
103,-0.42694755119920785
104,-0.5016369655999979
105,-0.5180719702294083
106,-0.5940737346222549
107,-0.6211963806942999
108,-0.5539717296977082
109,-0.6921573635530962
110,-0.6574034720694275
111,-0.6383846238828452
112,-0.6859166203385889
113,-0.8016012486896653
114,-0.7958308880725558
115,-0.83819030479766
116,-0.8195762078892836
117,-0.8178280362474082
118,-0.689685724941735
119,-0.7088341751395768
120,-0.7907139745493261
121,-0.7763719237528208
122,-0.7587721890350796
123,-0.6500371830158447
124,-0.5832282833426783
125,-0.5546785986107177
126,-0.4376143673131527
127,-0.5327154116589807
128,-0.5838955342789606
129,-0.6580216095914027
130,-0.689206393843864
131,-0.7993412856483688
132,-0.7485292099032164
133,-0.7663070256711182
134,-0.8839715292313308
135,-0.9652178557279343
136,-0.9401367479319187
137,-0.8730866225003682
138,-0.7133481511650253
139,-0.48023915388443883
140,-0.4470863992223591
141,-0.5262494488249083
142,-0.696813151283413
143,-0.6753962342959061
144,-0.740431521920732
145,-0.7736601027351069
146,-0.8226278466598915
147,-0.8338911175732024
148,-0.7486126991101909
149,-0.7360488137145633
150,-0.7487396006776585
151,-0.8315919009037234
152,-0.9655665364800721
153,-1.0044711692059385
154,-1.0087737732714042
155,-0.8673393801850136
156,-0.8569174184671828
157,-0.7782982575853381
158,-0.8182419054684704
159,-0.9130374067818323
160,-0.9902467477604222
161,-1.0482648329232824
162,-0.8779872543284692
163,-0.94369818866642
164,-0.8766190523675124
165,-0.9488532266144745
166,-0.874327385584535
167,-0.843531308296066
168,-0.8560623401087133
169,-0.8593233421995479
170,-0.9117063578338991
171,-0.8760205817153326
172,-0.9124192601425951
173,-1.010467721243975
174,-1.1127027271895444
175,-1.0988956937717749
176,-0.9725683932589402
177,-0.959769064173065
178,-0.9692601302618555
179,-0.946394039093652
180,-0.8419138997571061
181,-0.8243632996479977
182,-0.8572374781146965
183,-0.7687343813099055
184,-0.7344338662329764
185,-0.6115733868732971
186,-0.5969146318955445
187,-0.6948721544331846
188,-0.8043248903728377
189,-0.6722506557943377
190,-0.534357398131674
191,-0.548718935194282
192,-0.5793739208851612
193,-0.46245837750578495
194,-0.551022032069264
195,-0.6226001935857302
196,-0.5711340500106066
197,-0.6027024598393738
