hour,mean,std,min,max
0,119.03800531286895,4.550835836423378,105.511,126.503
1,118.22268742621016,4.169888424926542,108.708,125.89
2,119.15505637544274,3.6570375177448513,111.076,128.163
3,120.61880814639905,5.689153294562533,112.013,133.182
4,119.34295277449823,4.723936932024539,107.875,127.699
5,118.38345454545455,5.075114425668904,99.074,131.269
6,120.31402774498228,4.709090782513867,110.904,130.682
7,120.12049380165288,3.5586012241104212,113.736,126.153
8,119.39363842975206,3.5405879510570255,113.668,128.577
9,121.90953305785123,4.228934940709006,116.293,131.926
10,120.40567768595041,4.789352967670862,110.048,130.458
11,119.25003659976387,5.3654145707808745,109.886,130.521
12,119.8055383707202,4.231725731163531,113.488,127.203
13,118.96050442739079,4.919368561359625,109.446,130.516
14,118.6929704840614,4.733902874993379,107.815,129.245
15,120.12507939787486,3.765367232548798,113.444,127.287
16,118.26729545454545,4.072471673374039,110.844,127.568
17,119.98665436835891,5.105180032808007,109.784,131.456
18,118.2090489964581,6.062053324381563,105.362,128.33
19,120.4175507674144,5.265464918804705,107.9,133.573
20,119.36677685950414,3.8288208524884895,111.959,126.967
21,119.44749468713106,4.149111184300384,109.957,130.82
22,118.85935537190083,4.381800290854623,107.447,126.137
23,118.03200177095631,3.9871778673996996,106.492,125.658
