,forecast_mw,forecast_lower,forecast_upper
2026-01-08 00:00:00+00:00,116.76825,106.65207006359742,126.88442993640257
2026-01-08 00:15:00+00:00,116.76825,106.65207006359742,126.88442993640257
2026-01-08 00:30:00+00:00,116.76825,106.65207006359742,126.88442993640257
2026-01-08 00:45:00+00:00,116.76825,106.65207006359742,126.88442993640257
2026-01-08 01:00:00+00:00,113.5565,103.69311881418992,123.41988118581008
2026-01-08 01:15:00+00:00,113.5565,103.69311881418992,123.41988118581008
2026-01-08 01:30:00+00:00,113.5565,103.69311881418992,123.41988118581008
2026-01-08 01:45:00+00:00,113.5565,103.69311881418992,123.41988118581008
2026-01-08 02:00:00+00:00,122.87125,115.2558746937912,130.48662530620882
2026-01-08 02:15:00+00:00,122.87125,115.2558746937912,130.48662530620882
2026-01-08 02:30:00+00:00,122.87125,115.2558746937912,130.48662530620882
2026-01-08 02:45:00+00:00,122.87125,115.2558746937912,130.48662530620882
2026-01-08 03:00:00+00:00,118.589,107.05251358409971,130.1254864159003
2026-01-08 03:15:00+00:00,118.589,107.05251358409971,130.1254864159003
2026-01-08 03:30:00+00:00,118.589,107.05251358409971,130.1254864159003
2026-01-08 03:45:00+00:00,118.589,107.05251358409971,130.1254864159003
2026-01-08 04:00:00+00:00,116.72825,107.18399501244276,126.27250498755724
2026-01-08 04:15:00+00:00,116.72825,107.18399501244276,126.27250498755724
2026-01-08 04:30:00+00:00,116.72825,107.18399501244276,126.27250498755724
2026-01-08 04:45:00+00:00,116.72825,107.18399501244276,126.27250498755724
2026-01-08 05:00:00+00:00,114.66575,104.11309575736335,125.21840424263665
2026-01-08 05:15:00+00:00,114.66575,104.11309575736335,125.21840424263665
2026-01-08 05:30:00+00:00,114.66575,104.11309575736335,125.21840424263665
2026-01-08 05:45:00+00:00,114.66575,104.11309575736335,125.21840424263665
2026-01-08 06:00:00+00:00,122.5055,113.15019185463377,131.8608081453662
2026-01-08 06:15:00+00:00,122.5055,113.15019185463377,131.8608081453662
2026-01-08 06:30:00+00:00,122.5055,113.15019185463377,131.8608081453662
2026-01-08 06:45:00+00:00,122.5055,113.15019185463377,131.8608081453662
2026-01-08 07:00:00+00:00,119.7775,112.67278544982095,126.88221455017906
2026-01-08 07:15:00+00:00,119.7775,112.67278544982095,126.88221455017906
2026-01-08 07:30:00+00:00,119.7775,112.67278544982095,126.88221455017906
2026-01-08 07:45:00+00:00,119.7775,112.67278544982095,126.88221455017906
2026-01-08 08:00:00+00:00,118.68,111.33456298280153,126.02543701719848
2026-01-08 08:15:00+00:00,118.68,111.33456298280153,126.02543701719848
2026-01-08 08:30:00+00:00,118.68,111.33456298280153,126.02543701719848
2026-01-08 08:45:00+00:00,118.68,111.33456298280153,126.02543701719848
2026-01-08 09:00:00+00:00,123.08675,114.97839402497166,131.19510597502833
2026-01-08 09:15:00+00:00,123.08675,114.97839402497166,131.19510597502833
2026-01-08 09:30:00+00:00,123.08675,114.97839402497166,131.19510597502833
2026-01-08 09:45:00+00:00,123.08675,114.97839402497166,131.19510597502833
2026-01-08 10:00:00+00:00,119.15875,109.86067468573798,128.45682531426203
2026-01-08 10:15:00+00:00,119.15875,109.86067468573798,128.45682531426203
2026-01-08 10:30:00+00:00,119.15875,109.86067468573798,128.45682531426203
2026-01-08 10:45:00+00:00,119.15875,109.86067468573798,128.45682531426203
2026-01-08 11:00:00+00:00,119.32625,107.9062589013669,130.7462410986331
2026-01-08 11:15:00+00:00,119.32625,107.9062589013669,130.7462410986331
2026-01-08 11:30:00+00:00,119.32625,107.9062589013669,130.7462410986331
2026-01-08 11:45:00+00:00,119.32625,107.9062589013669,130.7462410986331
2026-01-08 12:00:00+00:00,118.74625,108.90380838772228,128.58869161227773
2026-01-08 12:15:00+00:00,118.74625,108.90380838772228,128.58869161227773
2026-01-08 12:30:00+00:00,118.74625,108.90380838772228,128.58869161227773
2026-01-08 12:45:00+00:00,118.74625,108.90380838772228,128.58869161227773
2026-01-08 13:00:00+00:00,119.31025,109.10389656867613,129.51660343132386
2026-01-08 13:15:00+00:00,119.31025,109.10389656867613,129.51660343132386
2026-01-08 13:30:00+00:00,119.31025,109.10389656867613,129.51660343132386
2026-01-08 13:45:00+00:00,119.31025,109.10389656867613,129.51660343132386
2026-01-08 14:00:00+00:00,115.03450000000001,105.11616309266782,124.9528369073322
2026-01-08 14:15:00+00:00,115.03450000000001,105.11616309266782,124.9528369073322
2026-01-08 14:30:00+00:00,115.03450000000001,105.11616309266782,124.9528369073322
2026-01-08 14:45:00+00:00,115.03450000000001,105.11616309266782,124.9528369073322
2026-01-08 15:00:00+00:00,120.35825,112.89670340948078,127.81979659051922
2026-01-08 15:15:00+00:00,120.35825,112.89670340948078,127.81979659051922
2026-01-08 15:30:00+00:00,120.35825,112.89670340948078,127.81979659051922
2026-01-08 15:45:00+00:00,120.35825,112.89670340948078,127.81979659051922
2026-01-08 16:00:00+00:00,119.92475,111.43777091690956,128.41172908309045
2026-01-08 16:15:00+00:00,119.92475,111.43777091690956,128.41172908309045
2026-01-08 16:30:00+00:00,119.92475,111.43777091690956,128.41172908309045
2026-01-08 16:45:00+00:00,119.92475,111.43777091690956,128.41172908309045
2026-01-08 17:00:00+00:00,120.743,109.28513399405941,132.20086600594058
2026-01-08 17:15:00+00:00,120.743,109.28513399405941,132.20086600594058
2026-01-08 17:30:00+00:00,120.743,109.28513399405941,132.20086600594058
2026-01-08 17:45:00+00:00,120.743,109.28513399405941,132.20086600594058
2026-01-08 18:00:00+00:00,120.9655,108.22889804496245,133.70210195503756
2026-01-08 18:15:00+00:00,120.9655,108.22889804496245,133.70210195503756
2026-01-08 18:30:00+00:00,120.9655,108.22889804496245,133.70210195503756
2026-01-08 18:45:00+00:00,120.9655,108.22889804496245,133.70210195503756
2026-01-08 19:00:00+00:00,122.56,112.13320281869693,132.98679718130307
2026-01-08 19:15:00+00:00,122.56,112.13320281869693,132.98679718130307
2026-01-08 19:30:00+00:00,122.56,112.13320281869693,132.98679718130307
2026-01-08 19:45:00+00:00,122.56,112.13320281869693,132.98679718130307
2026-01-08 20:00:00+00:00,118.9725,110.8720643914508,127.07293560854919
2026-01-08 20:15:00+00:00,118.9725,110.8720643914508,127.07293560854919
2026-01-08 20:30:00+00:00,118.9725,110.8720643914508,127.07293560854919
2026-01-08 20:45:00+00:00,118.9725,110.8720643914508,127.07293560854919
2026-01-08 21:00:00+00:00,122.4485,113.01813821352974,131.87886178647025
2026-01-08 21:15:00+00:00,122.4485,113.01813821352974,131.87886178647025
2026-01-08 21:30:00+00:00,122.4485,113.01813821352974,131.87886178647025
2026-01-08 21:45:00+00:00,122.4485,113.01813821352974,131.87886178647025
2026-01-08 22:00:00+00:00,122.20949999999999,111.3273227862878,133.0916772137122
