load_mw,percentage_time
135.346,0.1488095238095238
134.008,0.2976190476190476
133.573,0.4464285714285714
133.182,0.5952380952380952
132.254,0.744047619047619
131.926,0.8928571428571428
131.688,1.0416666666666665
131.459,1.1904761904761905
131.456,1.3392857142857142
131.269,1.488095238095238
131.101,1.636904761904762
130.82,1.7857142857142856
130.766,1.9345238095238095
130.682,2.083333333333333
130.521,2.232142857142857
130.516,2.380952380952381
130.458,2.5297619047619047
130.174,2.6785714285714284
130.071,2.8273809523809526
129.285,2.976190476190476
129.245,3.125
129.022,3.273809523809524
129.003,3.422619047619048
128.981,3.571428571428571
128.872,3.7202380952380953
128.869,3.869047619047619
128.821,4.017857142857143
128.577,4.166666666666666
128.483,4.315476190476191
128.397,4.464285714285714
128.33,4.613095238095238
128.26,4.761904761904762
128.163,4.910714285714286
128.126,5.059523809523809
128.015,5.208333333333334
127.952,5.357142857142857
127.735,5.5059523809523805
127.699,5.654761904761905
127.698,5.803571428571429
127.568,5.952380952380952
127.514,6.101190476190476
127.492,6.25
127.446,6.398809523809524
127.296,6.547619047619048
127.287,6.696428571428571
127.268,6.845238095238096
127.262,6.9940476190476195
127.203,7.142857142857142
126.967,7.291666666666667
126.873,7.440476190476191
126.675,7.5892857142857135
126.54,7.738095238095238
126.503,7.886904761904762
126.346,8.035714285714286
126.219,8.18452380952381
126.153,8.333333333333332
126.137,8.482142857142858
126.125,8.630952380952381
126.015,8.779761904761903
126.009,8.928571428571429
125.978,9.077380952380953
125.96,9.226190476190476
125.917,9.375
125.907,9.523809523809524
125.905,9.672619047619047
125.89,9.821428571428571
125.873,9.970238095238097
125.829,10.119047619047619
125.8,10.267857142857142
125.773,10.416666666666668
125.74,10.56547619047619
125.703,10.714285714285714
125.683,10.863095238095239
125.658,11.011904761904761
125.615,11.160714285714286
125.614,11.30952380952381
125.537,11.458333333333332
125.537,11.607142857142858
125.531,11.755952380952381
125.509,11.904761904761903
125.459,12.053571428571429
125.458,12.202380952380953
125.438,12.351190476190476
125.408,12.5
125.406,12.648809523809524
125.406,12.797619047619047
125.241,12.946428571428573
125.221,13.095238095238097
125.19,13.244047619047619
125.173,13.392857142857142
125.135,13.541666666666666
125.105,13.690476190476192
125.079,13.839285714285715
125.051,13.988095238095239
125.045,14.136904761904761
124.994,14.285714285714285
124.979,14.434523809523808
124.948,14.583333333333334
124.941,14.732142857142858
124.937,14.880952380952381
124.888,15.029761904761903
124.882,15.178571428571427
124.847,15.327380952380953
124.805,15.476190476190476
124.742,15.625
124.721,15.773809523809524
124.704,15.922619047619047
124.689,16.071428571428573
124.646,16.220238095238095
124.615,16.36904761904762
124.573,16.517857142857142
124.514,16.666666666666664
124.501,16.815476190476193
124.477,16.964285714285715
124.474,17.113095238095237
124.433,17.261904761904763
124.413,17.410714285714285
124.313,17.559523809523807
124.305,17.708333333333336
124.255,17.857142857142858
124.252,18.00595238095238
124.233,18.154761904761905
124.22,18.303571428571427
124.218,18.452380952380953
124.119,18.601190476190478
124.11,18.75
124.11,18.898809523809522
124.108,19.047619047619047
124.038,19.196428571428573
124.018,19.345238095238095
124.014,19.49404761904762
123.996,19.642857142857142
123.976,19.791666666666664
123.97,19.940476190476193
123.945,20.089285714285715
123.937,20.238095238095237
123.935,20.386904761904763
123.886,20.535714285714285
123.878,20.684523809523807
123.875,20.833333333333336
123.854,20.982142857142858
123.837,21.13095238095238
123.75,21.279761904761905
123.746,21.428571428571427
123.687,21.577380952380953
123.687,21.726190476190478
123.677,21.875
123.65,22.023809523809522
123.642,22.172619047619047
123.623,22.321428571428573
123.614,22.470238095238095
123.597,22.61904761904762
123.561,22.767857142857142
123.551,22.916666666666664
123.517,23.065476190476193
123.514,23.214285714285715
123.476,23.363095238095237
123.428,23.511904761904763
123.42,23.660714285714285
123.391,23.809523809523807
123.337,23.958333333333336
123.278,24.107142857142858
123.234,24.25595238095238
123.222,24.404761904761905
123.211,24.553571428571427
123.183,24.702380952380953
123.183,24.851190476190478
123.173,25.0
123.173,25.148809523809522
123.144,25.297619047619047
123.143,25.44642857142857
123.137,25.595238095238095
123.13,25.744047619047617
123.077,25.892857142857146
123.023,26.041666666666668
122.999,26.190476190476193
122.991,26.339285714285715
122.972,26.488095238095237
122.967,26.636904761904763
122.963,26.785714285714285
122.915,26.934523809523807
122.801,27.083333333333332
122.782,27.232142857142854
122.771,27.380952380952383
122.757,27.529761904761905
122.748,27.67857142857143
122.716,27.827380952380953
122.712,27.976190476190478
122.657,28.125
122.594,28.273809523809522
122.484,28.422619047619047
122.465,28.57142857142857
122.43,28.720238095238095
122.418,28.869047619047617
122.399,29.017857142857146
122.382,29.166666666666668
122.346,29.315476190476193
122.337,29.464285714285715
122.318,29.613095238095237
122.313,29.761904761904763
122.252,29.910714285714285
122.229,30.059523809523807
122.209,30.208333333333332
122.178,30.357142857142854
122.157,30.505952380952383
122.121,30.654761904761905
122.119,30.80357142857143
122.11,30.952380952380953
122.08,31.101190476190478
122.072,31.25
122.042,31.398809523809522
122.032,31.547619047619047
122.023,31.69642857142857
122.017,31.845238095238095
121.98,31.994047619047617
121.977,32.142857142857146
121.909,32.29166666666667
121.907,32.44047619047619
121.905,32.589285714285715
121.903,32.73809523809524
121.888,32.88690476190476
121.86,33.035714285714285
121.845,33.18452380952381
121.825,33.33333333333333
121.821,33.482142857142854
121.817,33.63095238095239
121.817,33.779761904761905
121.816,33.92857142857143
121.815,34.077380952380956
121.785,34.226190476190474
121.781,34.375
121.765,34.523809523809526
121.758,34.672619047619044
121.742,34.82142857142857
121.739,34.970238095238095
121.738,35.11904761904761
121.732,35.267857142857146
121.724,35.41666666666667
121.697,35.56547619047619
121.693,35.714285714285715
121.689,35.86309523809524
121.675,36.01190476190476
121.656,36.160714285714285
121.655,36.30952380952381
121.644,36.45833333333333
121.628,36.607142857142854
121.616,36.75595238095239
121.613,36.904761904761905
121.55,37.05357142857143
121.516,37.202380952380956
121.513,37.351190476190474
121.511,37.5
121.505,37.648809523809526
121.5,37.797619047619044
121.499,37.94642857142857
121.487,38.095238095238095
121.443,38.24404761904761
121.409,38.392857142857146
121.406,38.54166666666667
121.381,38.69047619047619
121.373,38.839285714285715
121.372,38.98809523809524
121.367,39.13690476190476
121.362,39.285714285714285
121.341,39.43452380952381
121.338,39.58333333333333
121.296,39.732142857142854
121.26,39.88095238095239
121.253,40.029761904761905
121.247,40.17857142857143
121.203,40.327380952380956
121.129,40.476190476190474
121.113,40.625
121.097,40.773809523809526
121.081,40.922619047619044
121.078,41.07142857142857
121.076,41.220238095238095
121.07,41.36904761904761
121.067,41.517857142857146
121.013,41.66666666666667
120.996,41.81547619047619
120.984,41.964285714285715
120.918,42.11309523809524
120.91,42.26190476190476
120.884,42.410714285714285
120.849,42.55952380952381
120.845,42.70833333333333
120.841,42.857142857142854
120.827,43.00595238095239
120.827,43.154761904761905
120.811,43.30357142857143
120.791,43.452380952380956
120.79,43.601190476190474
120.782,43.75
120.758,43.898809523809526
120.753,44.047619047619044
120.721,44.19642857142857
