timestamp_utc,load_mw,load_mw_raw,hour,minute,hour_frac,day_of_week,day_name,date,week,is_weekend
2026-01-01 00:00:00+00:00,117.221,117.221,0,0,0.0,3,Thursday,2026-01-01,1,False
2026-01-01 00:15:00+00:00,119.945,119.945,0,15,0.25,3,Thursday,2026-01-01,1,False
2026-01-01 00:30:00+00:00,112.981,112.981,0,30,0.5,3,Thursday,2026-01-01,1,False
2026-01-01 00:45:00+00:00,116.926,116.926,0,45,0.75,3,Thursday,2026-01-01,1,False
2026-01-01 01:00:00+00:00,118.181,118.181,1,0,1.0,3,Thursday,2026-01-01,1,False
2026-01-01 01:15:00+00:00,117.634,117.634,1,15,1.25,3,Thursday,2026-01-01,1,False
2026-01-01 01:30:00+00:00,108.708,108.708,1,30,1.5,3,Thursday,2026-01-01,1,False
2026-01-01 01:45:00+00:00,109.703,109.703,1,45,1.75,3,Thursday,2026-01-01,1,False
2026-01-01 02:00:00+00:00,119.72,119.72,2,0,2.0,3,Thursday,2026-01-01,1,False
2026-01-01 02:15:00+00:00,128.163,128.163,2,15,2.25,3,Thursday,2026-01-01,1,False
2026-01-01 02:30:00+00:00,122.399,122.399,2,30,2.5,3,Thursday,2026-01-01,1,False
2026-01-01 02:45:00+00:00,121.203,121.203,2,45,2.75,3,Thursday,2026-01-01,1,False
2026-01-01 03:00:00+00:00,119.081,119.081,3,0,3.0,3,Thursday,2026-01-01,1,False
2026-01-01 03:15:00+00:00,112.408,112.408,3,15,3.25,3,Thursday,2026-01-01,1,False
2026-01-01 03:30:00+00:00,124.11,124.11,3,30,3.5,3,Thursday,2026-01-01,1,False
2026-01-01 03:45:00+00:00,118.757,118.757,3,45,3.75,3,Thursday,2026-01-01,1,False
2026-01-01 04:00:00+00:00,114.51,114.51,4,0,4.0,3,Thursday,2026-01-01,1,False
2026-01-01 04:15:00+00:00,107.875,107.875,4,15,4.25,3,Thursday,2026-01-01,1,False
2026-01-01 04:30:00+00:00,119.882,119.882,4,30,4.5,3,Thursday,2026-01-01,1,False
2026-01-01 04:45:00+00:00,124.646,124.646,4,45,4.75,3,Thursday,2026-01-01,1,False
2026-01-01 05:00:00+00:00,119.197,119.197,5,0,5.0,3,Thursday,2026-01-01,1,False
2026-01-01 05:15:00+00:00,99.074,99.074,5,15,5.25,3,Thursday,2026-01-01,1,False
2026-01-01 05:30:00+00:00,116.705,116.705,5,30,5.5,3,Thursday,2026-01-01,1,False
2026-01-01 05:45:00+00:00,123.687,123.687,5,45,5.75,3,Thursday,2026-01-01,1,False
2026-01-01 06:00:00+00:00,121.406,121.406,6,0,6.0,3,Thursday,2026-01-01,1,False
2026-01-01 06:15:00+00:00,125.978,125.978,6,15,6.25,3,Thursday,2026-01-01,1,False
2026-01-01 06:30:00+00:00,116.678,116.678,6,30,6.5,3,Thursday,2026-01-01,1,False
2026-01-01 06:45:00+00:00,125.96,125.96,6,45,6.75,3,Thursday,2026-01-01,1,False
2026-01-01 07:00:00+00:00,122.119,122.119,7,0,7.0,3,Thursday,2026-01-01,1,False
2026-01-01 07:15:00+00:00,117.354,117.354,7,15,7.25,3,Thursday,2026-01-01,1,False
2026-01-01 07:30:00+00:00,122.042,122.042,7,30,7.5,3,Thursday,2026-01-01,1,False
2026-01-01 07:45:00+00:00,117.595,117.595,7,45,7.75,3,Thursday,2026-01-01,1,False
2026-01-01 08:00:00+00:00,118.613,118.613,8,0,8.0,3,Thursday,2026-01-01,1,False
2026-01-01 08:15:00+00:00,116.082,116.082,8,15,8.25,3,Thursday,2026-01-01,1,False
2026-01-01 08:30:00+00:00,121.644,121.644,8,30,8.5,3,Thursday,2026-01-01,1,False
2026-01-01 08:45:00+00:00,118.381,118.381,8,45,8.75,3,Thursday,2026-01-01,1,False
2026-01-01 09:00:00+00:00,120.996,120.996,9,0,9.0,3,Thursday,2026-01-01,1,False
2026-01-01 09:15:00+00:00,121.909,121.909,9,15,9.25,3,Thursday,2026-01-01,1,False
2026-01-01 09:30:00+00:00,128.981,128.981,9,30,9.5,3,Thursday,2026-01-01,1,False
2026-01-01 09:45:00+00:00,120.461,120.461,9,45,9.75,3,Thursday,2026-01-01,1,False
2026-01-01 10:00:00+00:00,125.509,125.509,10,0,10.0,3,Thursday,2026-01-01,1,False
2026-01-01 10:15:00+00:00,120.758,120.758,10,15,10.25,3,Thursday,2026-01-01,1,False
2026-01-01 10:30:00+00:00,115.663,115.663,10,30,10.5,3,Thursday,2026-01-01,1,False
2026-01-01 10:45:00+00:00,114.705,114.705,10,45,10.75,3,Thursday,2026-01-01,1,False
2026-01-01 11:00:00+00:00,117.116,117.116,11,0,11.0,3,Thursday,2026-01-01,1,False
2026-01-01 11:15:00+00:00,124.847,124.847,11,15,11.25,3,Thursday,2026-01-01,1,False
2026-01-01 11:30:00+00:00,123.97,123.97,11,30,11.5,3,Thursday,2026-01-01,1,False
2026-01-01 11:45:00+00:00,111.372,111.372,11,45,11.75,3,Thursday,2026-01-01,1,False
2026-01-01 12:00:00+00:00,115.547,115.547,12,0,12.0,3,Thursday,2026-01-01,1,False
2026-01-01 12:15:00+00:00,113.488,113.488,12,15,12.25,3,Thursday,2026-01-01,1,False
2026-01-01 12:30:00+00:00,125.917,125.917,12,30,12.5,3,Thursday,2026-01-01,1,False
2026-01-01 12:45:00+00:00,120.033,120.033,12,45,12.75,3,Thursday,2026-01-01,1,False
2026-01-01 13:00:00+00:00,125.105,125.105,13,0,13.0,3,Thursday,2026-01-01,1,False
2026-01-01 13:15:00+00:00,110.661,110.661,13,15,13.25,3,Thursday,2026-01-01,1,False
2026-01-01 13:30:00+00:00,124.218,124.218,13,30,13.5,3,Thursday,2026-01-01,1,False
2026-01-01 13:45:00+00:00,117.257,117.257,13,45,13.75,3,Thursday,2026-01-01,1,False
2026-01-01 14:00:00+00:00,107.815,107.815,14,0,14.0,3,Thursday,2026-01-01,1,False
2026-01-01 14:15:00+00:00,122.757,122.757,14,15,14.25,3,Thursday,2026-01-01,1,False
2026-01-01 14:30:00+00:00,117.941,117.941,14,30,14.5,3,Thursday,2026-01-01,1,False
2026-01-01 14:45:00+00:00,111.625,111.625,14,45,14.75,3,Thursday,2026-01-01,1,False
2026-01-01 15:00:00+00:00,121.613,121.613,15,0,15.0,3,Thursday,2026-01-01,1,False
2026-01-01 15:15:00+00:00,125.531,125.531,15,15,15.25,3,Thursday,2026-01-01,1,False
2026-01-01 15:30:00+00:00,120.845,120.845,15,30,15.5,3,Thursday,2026-01-01,1,False
2026-01-01 15:45:00+00:00,113.444,113.444,15,45,15.75,3,Thursday,2026-01-01,1,False
2026-01-01 16:00:00+00:00,122.484,122.484,16,0,16.0,3,Thursday,2026-01-01,1,False
2026-01-01 16:15:00+00:00,115.625,115.625,16,15,16.25,3,Thursday,2026-01-01,1,False
