timestamp_utc,load_mw,load_mw_imputed
2026-01-01 00:00:00+00:00,117.221,117.221
2026-01-01 00:15:00+00:00,119.945,119.945
2026-01-01 00:30:00+00:00,112.981,112.981
2026-01-01 00:45:00+00:00,116.926,116.926
2026-01-01 01:00:00+00:00,118.181,118.181
2026-01-01 01:15:00+00:00,117.634,117.634
2026-01-01 01:30:00+00:00,108.708,108.708
2026-01-01 01:45:00+00:00,109.703,109.703
2026-01-01 02:00:00+00:00,119.72,119.72
2026-01-01 02:15:00+00:00,128.163,128.163
2026-01-01 02:30:00+00:00,122.399,122.399
2026-01-01 02:45:00+00:00,121.203,121.203
2026-01-01 03:00:00+00:00,119.081,119.081
2026-01-01 03:15:00+00:00,112.408,112.408
2026-01-01 03:30:00+00:00,124.11,124.11
2026-01-01 03:45:00+00:00,118.757,118.757
2026-01-01 04:00:00+00:00,114.51,114.51
2026-01-01 04:15:00+00:00,107.875,107.875
2026-01-01 04:30:00+00:00,119.882,119.882
2026-01-01 04:45:00+00:00,124.646,124.646
2026-01-01 05:00:00+00:00,119.197,119.197
2026-01-01 05:15:00+00:00,99.074,99.074
2026-01-01 05:30:00+00:00,116.705,116.705
2026-01-01 05:45:00+00:00,123.687,123.687
2026-01-01 06:00:00+00:00,121.406,121.406
2026-01-01 06:15:00+00:00,125.978,125.978
2026-01-01 06:30:00+00:00,116.678,116.678
2026-01-01 06:45:00+00:00,125.96,125.96
2026-01-01 07:00:00+00:00,122.119,122.119
2026-01-01 07:15:00+00:00,117.354,117.354
2026-01-01 07:30:00+00:00,122.042,122.042
2026-01-01 07:45:00+00:00,117.595,117.595
2026-01-01 08:00:00+00:00,118.613,118.613
2026-01-01 08:15:00+00:00,116.082,116.082
2026-01-01 08:30:00+00:00,121.644,121.644
2026-01-01 08:45:00+00:00,118.381,118.381
2026-01-01 09:00:00+00:00,120.996,120.996
2026-01-01 09:15:00+00:00,121.909,121.909
2026-01-01 09:30:00+00:00,128.981,128.981
2026-01-01 09:45:00+00:00,120.461,120.461
2026-01-01 10:00:00+00:00,125.509,125.509
2026-01-01 10:15:00+00:00,120.758,120.758
2026-01-01 10:30:00+00:00,115.663,115.663
2026-01-01 10:45:00+00:00,114.705,114.705
2026-01-01 11:00:00+00:00,117.116,117.116
2026-01-01 11:15:00+00:00,124.847,124.847
2026-01-01 11:30:00+00:00,123.97,123.97
2026-01-01 11:45:00+00:00,111.372,111.372
2026-01-01 12:00:00+00:00,115.547,115.547
2026-01-01 12:15:00+00:00,113.488,113.488
2026-01-01 12:30:00+00:00,125.917,125.917
2026-01-01 12:45:00+00:00,120.033,120.033
2026-01-01 13:00:00+00:00,125.105,125.105
2026-01-01 13:15:00+00:00,110.661,110.661
2026-01-01 13:30:00+00:00,124.218,124.218
2026-01-01 13:45:00+00:00,117.257,117.257
2026-01-01 14:00:00+00:00,107.815,107.815
2026-01-01 14:15:00+00:00,122.757,122.757
2026-01-01 14:30:00+00:00,117.941,117.941
2026-01-01 14:45:00+00:00,111.625,111.625
2026-01-01 15:00:00+00:00,121.613,121.613
2026-01-01 15:15:00+00:00,125.531,125.531
2026-01-01 15:30:00+00:00,120.845,120.845
2026-01-01 15:45:00+00:00,113.444,113.444
2026-01-01 16:00:00+00:00,122.484,122.484
2026-01-01 16:15:00+00:00,115.625,115.625
2026-01-01 16:30:00+00:00,126.015,126.015
2026-01-01 16:45:00+00:00,115.575,115.575
2026-01-01 17:00:00+00:00,123.337,123.337
2026-01-01 17:15:00+00:00,120.115,120.115
2026-01-01 17:30:00+00:00,128.397,128.397
2026-01-01 17:45:00+00:00,111.123,111.123
2026-01-01 18:00:00+00:00,122.801,122.801
2026-01-01 18:15:00+00:00,119.742,119.742
2026-01-01 18:30:00+00:00,113.367,113.367
2026-01-01 18:45:00+00:00,127.952,127.952
2026-01-01 19:00:00+00:00,125.537,125.537
2026-01-01 19:15:00+00:00,121.129,121.129
2026-01-01 19:30:00+00:00,125.537,125.537
2026-01-01 19:45:00+00:00,118.037,118.037
2026-01-01 20:00:00+00:00,,118.02962809917356
2026-01-01 20:15:00+00:00,,118.02225619834711
2026-01-01 20:30:00+00:00,,118.01488429752067
2026-01-01 20:45:00+00:00,,118.00751239669422
2026-01-01 21:00:00+00:00,,118.00014049586777
2026-01-01 21:15:00+00:00,,117.99276859504133
2026-01-01 21:30:00+00:00,,117.98539669421488
2026-01-01 21:45:00+00:00,,117.97802479338843
2026-01-01 22:00:00+00:00,,117.97065289256199
2026-01-01 22:15:00+00:00,,117.96328099173554
2026-01-01 22:30:00+00:00,,117.9559090909091
2026-01-01 22:45:00+00:00,,117.94853719008265
2026-01-01 23:00:00+00:00,,117.9411652892562
2026-01-01 23:15:00+00:00,,117.93379338842976
2026-01-01 23:30:00+00:00,,117.9264214876033
2026-01-01 23:45:00+00:00,,117.91904958677686
2026-01-02 00:00:00+00:00,,117.91167768595042
2026-01-02 00:15:00+00:00,,117.90430578512397
2026-01-02 00:30:00+00:00,,117.89693388429752
2026-01-02 00:45:00+00:00,,117.88956198347108
2026-01-02 01:00:00+00:00,,117.88219008264463
2026-01-02 01:15:00+00:00,,117.87481818181818
2026-01-02 01:30:00+00:00,,117.86744628099174
2026-01-02 01:45:00+00:00,,117.86007438016529
2026-01-02 02:00:00+00:00,,117.85270247933884
2026-01-02 02:15:00+00:00,,117.8453305785124
2026-01-02 02:30:00+00:00,,117.83795867768596
2026-01-02 02:45:00+00:00,,117.8305867768595
2026-01-02 03:00:00+00:00,,117.82321487603306
2026-01-02 03:15:00+00:00,,117.81584297520662
2026-01-02 03:30:00+00:00,,117.80847107438017
2026-01-02 03:45:00+00:00,,117.80109917355372
2026-01-02 04:00:00+00:00,,117.79372727272728
2026-01-02 04:15:00+00:00,,117.78635537190083
2026-01-02 04:30:00+00:00,,117.77898347107438
2026-01-02 04:45:00+00:00,,117.77161157024794
2026-01-02 05:00:00+00:00,,117.76423966942149
2026-01-02 05:15:00+00:00,,117.75686776859504
2026-01-02 05:30:00+00:00,,117.7494958677686
2026-01-02 05:45:00+00:00,,117.74212396694215
2026-01-02 06:00:00+00:00,,117.7347520661157
2026-01-02 06:15:00+00:00,,117.72738016528926
2026-01-02 06:30:00+00:00,,117.7200082644628
2026-01-02 06:45:00+00:00,,117.71263636363636
2026-01-02 07:00:00+00:00,,117.70526446280992
2026-01-02 07:15:00+00:00,,117.69789256198348
2026-01-02 07:30:00+00:00,,117.69052066115702
2026-01-02 07:45:00+00:00,,117.68314876033058
2026-01-02 08:00:00+00:00,,117.67577685950414
2026-01-02 08:15:00+00:00,,117.66840495867768
2026-01-02 08:30:00+00:00,,117.66103305785124
