month,roi,weight
1,26.9987136594649,0.05385342782269771
2,47.351730018906615,0.0944509063289794
3,47.11901815284504,0.09398672378159945
4,46.91792905991839,0.09358561811825387
5,46.637423967720544,0.09302610402706012
6,46.66472157063191,0.09308055363924024
7,45.8795649091309,0.09151442800329418
8,46.825322901489116,0.09340089972271061
9,46.29361375977864,0.09234031734656709
10,46.44788382902392,0.09264803467503288
11,27.124314677207572,0.05410395995651628
12,27.07672106607438,0.05400902657804829
