store_id,baseline_ad,baseline_sales,marginal_roi,current_ad_share
1,17552.26,488517.95740000025,13.101461521194128,0.0338896159040036
2,18796.38,502444.11400000023,13.465427917502987,0.03649341414557172
3,19611.57,531653.6885000005,10.48608392902732,0.03524417803264812
4,19499.92,534331.6129999994,3.8064338212671873,0.039187619233844735
5,19410.26,516544.9570999997,8.293797713168258,0.03770465012544447
6,17256.61,489828.2420999993,13.677296757590925,0.03407478653659099
7,20982.37,536793.0046,8.935173052424746,0.04257332309930518
8,21300.49,532415.2105999999,8.661089345832263,0.04301693656985588
9,18139.08,507513.10649999994,16.396027637564817,0.034398685971819186
10,18643.25,504115.26840000035,10.730405213683035,0.036325496635830255
