store_id,segment,avg_effectiveness,current_budget,hybrid_budget,budget_change_pct
1,Low Priority,-2.944578438761351,14290.321587283293,11352.144821527065,-20.560606336325282
2,Large but Inefficient,-1.7025576924666568,14211.349694336111,14349.76558208734,0.9739812947280744
3,Large but Inefficient,-1.820796781232613,15353.259184474862,14858.469203527155,-3.2227032384631182
4,Low Priority,-2.7369781440573404,13729.652822421747,11469.960565816289,-16.458480675601493
5,Small but Efficient,-1.285541039096009,14204.04511567969,15369.684042236582,8.206387103559369
6,Low Priority,-2.2053627152412445,13973.266618339043,12947.2069783818,-7.343019123463964
7,Low Priority,-1.6887974342186136,13598.549789988065,13954.628519933129,2.618505174774056
8,Low Priority,-2.3630951439947436,13662.35986750316,12341.864153381972,-9.665209575265811
9,Low Priority,-2.09602811909244,14549.53148913676,13619.338065719463,-6.39328781213206
10,Low Priority,-2.549650002343768,14160.730845988683,12232.169879959127,-13.61907790639111
11,Low Priority,-2.2556944846382545,14283.597810095172,13040.72275239883,-8.701414547096253
12,Low Priority,-1.6439277851435852,13192.94811928288,13780.997456930354,4.457300463328416
13,Small but Efficient,-1.521718292732698,14457.665803593323,14966.692154810062,3.5208059041607154
14,Small but Efficient,-1.4502434937911948,14289.955447830356,15024.980772484889,5.143650218770497
15,Large but Inefficient,-1.9316626373860737,13458.053500933573,13259.315692804776,-1.476720300710729
16,Large but Inefficient,-1.7993673336377458,14959.653478347956,14635.619034552308,-2.166055813155322
17,Small but Efficient,-1.176927522274,14008.431732986706,15499.727930964553,10.645704147354191
18,Low Priority,-1.946968277238457,14539.258890815494,13978.538029316249,-3.8565986458460726
19,Low Priority,-1.7823410380169016,14177.181185343316,14129.739257255349,-0.3346358311129792
20,Low Priority,-1.5847260442794633,13391.094679306249,14065.218599658572,5.034121081931205
21,Low Priority,-2.2824212228261533,13476.219205004794,12409.863103143985,-7.912872932972075
22,Large but Inefficient,-1.8964355042238688,13732.549104138016,13538.051308026752,-1.416326966219664
23,High Potential,-1.3471091472108983,14049.990906174218,15110.510987321104,7.548190516485274
24,Low Priority,-1.9598873778494694,13306.670426351908,13083.970808317416,-1.6735938510468278
25,Low Priority,-1.980792112033865,14818.656403229348,14090.976918333661,-4.910563178569332
26,Low Priority,-1.611312283373701,13228.612088588354,13886.131508830706,4.970433903716627
27,Low Priority,-1.8103013745084744,13634.515334592754,13681.146337412272,0.34200704370626817
28,Small but Efficient,-1.0423887181369298,13349.290493432822,15369.026970243249,15.129916288839738
29,Low Priority,-2.8595484022614963,14160.217919656347,11470.077048605222,-18.997877619643376
30,Low Priority,-1.7485822419297852,13643.620535758499,13839.226306335393,1.433679352663263
31,Low Priority,-1.8251801096212383,14275.859492765037,14093.515148420389,-1.2772915314630275
32,Low Priority,-2.6134546222545656,13756.906896832315,11792.660635919545,-14.278255102279283
33,Low Priority,-2.404237958174386,14004.240857213783,12480.051342143872,-10.883771070566667
34,Low Priority,-1.5722168016841438,15048.24073964135,15255.968702114886,1.3804136049360372
35,Low Priority,-2.1695925172873016,13797.997566032573,12912.44219416552,-6.417999188861156
36,Low Priority,-1.6189862062386116,13957.483165991003,14377.47867354683,3.0091063163822636
37,Large but Inefficient,-1.8712597286940944,14557.926760526763,14177.698009380481,-2.611833109212068
38,Low Priority,-1.5870386640661993,14418.667675170067,14778.835251089835,2.497925495155153
39,Large but Inefficient,-1.772817792851147,14045.97771978162,14061.30507602468,0.10912274352731013
40,High Potential,-1.3508898895960753,14162.798002568496,15180.182847120272,7.183501765451066
41,Small but Efficient,-1.3579273618705379,13964.425192091918,15024.023693093051,7.587841865493944
42,Low Priority,-2.0718309411048996,14372.852510225535,13555.139718501814,-5.689286737910663
43,Low Priority,-2.301558600991443,14124.07827256876,12816.324557787135,-9.25903757784672
44,Large but Inefficient,-1.7446250144039135,14283.100059098113,14296.588882828073,0.09443904806483491
45,Low Priority,-2.128366346892794,15062.110168338273,13898.655410336894,-7.724380880223881
46,Low Priority,-3.3933634201444907,14143.823591084645,10146.477648299957,-28.262130936816533
47,Small but Efficient,-1.3651300050450363,14685.501389551127,15511.07285267466,5.621677062459271
48,Small but Efficient,-1.5566391864085,14554.241913206504,14948.459478692414,2.7086094063628052
49,Low Priority,-1.7617729855606337,13290.582087722409,13559.67639521115,2.0246991870832063
50,Low Priority,-2.0822899398255323,14743.321900190287,13788.759953960227,-6.474537778475418
51,Low Priority,-1.6916871699082943,14281.485127509533,14425.580253087694,1.0089645740035726
52,Low Priority,-1.6495596160758714,14068.807770086383,14380.256108165831,2.2137507539314103
53,High Potential,-0.7138949532209933,13621.159108143354,16366.776401599473,20.157001850265903
54,Low Priority,-1.6533839957805356,14180.937218781779,14449.346353549397,1.8927460902381483
55,Low Priority,-1.6529821904523565,13568.007082465541,14021.282900183342,3.3407693183148917
56,Low Priority,-2.0589314317494964,13808.052467271422,13191.486828779702,-4.4652614114346445
57,Low Priority,-1.6979779691462078,14045.512802691794,14244.936769816806,1.4198411259629717
58,Low Priority,-1.9333973555966382,13300.296509620699,13144.621841843114,-1.1704601297044626
59,Low Priority,-2.1612127931288705,14606.668281942928,13499.109152355573,-7.582558241269452
60,High Potential,-1.3974281212174366,13985.51201024622,14941.691151174193,6.836926243582971
61,Low Priority,-2.509590337323613,13928.8103356897,12168.292633862588,-12.639397474715771
62,Small but Efficient,-0.8947217995281325,14019.76329379507,16201.32489177855,15.560616483082889
63,Low Priority,-1.7379076933365856,13988.21321992539,14106.6793468014,0.8468996362399025
64,Low Priority,-1.9800165239616285,14215.026816031139,13670.342611575832,-3.831749398045692
65,Low Priority,-1.7824700800805708,13561.104512236347,13698.168399223938,1.0107133004093931
66,Low Priority,-2.1245350221026515,14904.888728403057,13798.017842184352,-7.4262271016450425
67,Low Priority,-1.7249961007770838,14065.103608703046,14192.239459944289,0.9039098095415015
68,Low Priority,-2.647866063292068,13572.303081924652,11578.854253002191,-14.687623882915643
69,High Potential,-1.4758073387181414,13996.946763334461,14757.038472475098,5.430410803102621
70,Low Priority,-2.0795490339159586,13963.094177230596,13249.33772571087,-5.111735568493394
71,Low Priority,-1.9148549737657161,13397.364851927205,13258.147066368943,-1.0391430486289615
72,High Potential,-1.4838931279055478,14226.308712105869,14897.71687505587,4.719482590579995
73,Small but Efficient,-1.5441316350778063,13778.511883707506,14436.192161117222,4.773231557664761
74,Low Priority,-1.97144681967911,14072.783983843947,13591.837059398014,-3.4175677321422433
75,Small but Efficient,-0.9012808473746456,14623.844830069322,16608.059753148726,13.568353234981625
76,Low Priority,-1.6139018812733634,14454.872162326561,14738.148299430037,1.9597277230979089
77,Low Priority,-1.9760630553204654,14098.549771736694,13598.526351343411,-3.546630174655823
78,High Potential,-0.8555386750971753,14697.530739867012,16772.074668428697,14.114914711043877
79,Low Priority,-1.976704363016581,13745.353224298548,13349.712426543761,-2.878360354213279
80,Small but Efficient,-1.0661422771627407,13828.073700974148,15645.788697942939,13.145106370388653
81,Low Priority,-1.838739081263306,13862.776933599042,13771.029250875938,-0.6618275917052102
82,Low Priority,-1.8608579501168028,14290.557494768043,14016.107213104773,-1.9205008745372603
83,Low Priority,-1.7704439076164986,12781.561610770394,13182.048836556281,3.1333199962703855
84,High Potential,-0.9784521461672271,14012.24874368146,15990.254564705261,14.11626254433816
85,Small but Efficient,-1.150649493018405,14116.223794944965,15639.774068380522,10.792902518173046
86,High Potential,-1.0471945092294197,14879.275245693445,16428.203607796688,10.409971833483986
87,Low Priority,-1.558845303846909,13971.016805905541,14534.779241888831,4.035228386132839
88,Low Priority,-2.3123678198800866,13324.550006374373,12230.085588787788,-8.213894030665207
89,Small but Efficient,-1.2625827039115933,13560.80900707124,14975.850614565617,10.434787531898044
90,Small but Efficient,-1.3284829285252462,14166.660539269078,15237.963187338872,7.56213961010932
91,Large but Inefficient,-1.8134588269861749,14362.223981313244,14182.781336103842,-1.2494070935175143
92,High Potential,-1.1435473151664304,13978.144798842386,15560.57600484597,11.320752709148035
93,Low Priority,-2.2702651418946993,14605.360995787676,13230.142141537202,-9.415849800953909
94,Low Priority,-2.081540003205052,14717.532935421843,13772.551031343792,-6.420790143460044
95,Low Priority,-1.8467475406711968,14792.0267248866,14401.819220693402,-2.637958350472017
96,Large but Inefficient,-1.5686894417042714,14382.981908564832,14798.957811211185,2.8921395110609547
