store_id,sales_revenue_usd,ad_spend_usd,roas,foot_traffic,local_population,competitor_count,ad_efficiency,sales_per_capita,segment
1,296918.8788888889,8235.268333333333,44.661545182081575,3294.4444444444443,43544.97222222222,4.833333333333333,44.661545182081575,6.81867190943718,Medium ROAS
2,302559.5752777778,8266.394166666667,45.215053075715076,3470.6111111111113,44286.416666666664,5.166666666666667,45.215053075715076,6.831882054379604,Medium ROAS
3,301856.0825,8750.994444444445,42.58744790692512,3341.6388888888887,45678.805555555555,4.833333333333333,42.58744790692512,6.608230640638712,Low ROAS
4,297936.7825,8504.504444444445,43.304812378095846,3308.9166666666665,44028.02777777778,5.222222222222222,43.304812378095846,6.766979979293492,Medium ROAS
5,298688.9688888889,8543.130277777778,42.49977180097961,3256.222222222222,44652.444444444445,4.583333333333333,42.49977180097961,6.689196361030378,Low ROAS
6,297545.2816666667,8200.610277777778,46.73077798593966,3303.8888888888887,44032.25,5.305555555555555,46.73077798593966,6.757439868883981,High ROAS
7,301300.64194444445,8298.051944444444,43.56010799413133,3360.777777777778,45399.694444444445,4.916666666666667,43.56010799413133,6.636622682849676,Medium ROAS
8,298541.7247222222,8439.284444444444,43.80054826121105,3207.0833333333335,44415.22222222222,5.138888888888889,43.80054826121105,6.721608263683372,Medium ROAS
9,300206.8913888889,8364.390833333333,46.06568923337218,3314.3333333333335,44301.02777777778,5.138888888888889,46.06568923337218,6.776522045826626,High ROAS
10,296944.53444444446,8611.776944444444,43.0465657823498,3209.9444444444443,42817.75,4.861111111111111,43.0465657823498,6.935080298344599,Medium ROAS
11,297351.44416666665,8508.271666666667,42.94075756383109,3175.1666666666665,45018.166666666664,5.0,42.94075756383109,6.605143349536669,Medium ROAS
12,297327.84055555554,8421.788055555555,42.306736527476346,3313.75,42925.77777777778,5.111111111111111,42.306736527476346,6.92655686042057,Low ROAS
13,294559.58194444445,8057.301944444444,46.91729375979056,3366.1666666666665,45143.36111111111,4.527777777777778,46.91729375979056,6.524981186479371,High ROAS
14,299028.0780555556,8365.9375,43.60575035521557,3324.6944444444443,46685.916666666664,4.75,43.60575035521557,6.405102425011588,Medium ROAS
15,301673.1538888889,8437.3975,45.12569561598193,3357.8333333333335,43250.805555555555,4.361111111111111,45.12569561598193,6.9749719112489235,Medium ROAS
16,305016.78944444447,8574.701944444445,43.81543568743939,3448.8888888888887,46601.055555555555,4.916666666666667,43.81543568743939,6.54527640647148,Medium ROAS
17,295744.3552777778,8083.600555555556,45.68306594498357,3353.6388888888887,44822.88888888889,5.416666666666667,45.68306594498357,6.598065466304418,Medium ROAS
18,302200.86583333334,8495.21611111111,44.894322189539075,3364.0555555555557,43943.72222222222,4.583333333333333,44.894322189539075,6.876997453814033,Medium ROAS
19,301687.74583333335,8507.973055555556,43.1212619480545,3313.277777777778,47085.22222222222,4.472222222222222,43.1212619480545,6.407270298300718,Medium ROAS
20,299497.2961111111,8259.982777777777,44.43825150009832,3414.5833333333335,47569.27777777778,4.777777777777778,44.43825150009832,6.296023612345503,Medium ROAS
21,295247.6305555555,8174.586111111111,45.80014349225297,3282.6944444444443,45125.02777777778,5.25,45.80014349225297,6.542879751997689,Medium ROAS
22,305152.52777777775,8702.015277777777,42.340361817501716,3453.4444444444443,44702.416666666664,5.222222222222222,42.340361817501716,6.82630941528764,Low ROAS
23,301919.69583333336,8432.539722222222,43.11516523653174,3381.1111111111113,44468.444444444445,5.361111111111111,43.11516523653174,6.789526811771644,Medium ROAS
