time_min,temperature_c,cooling_rate
0,85.0,0.688999999999993
1,84.311,0.6850000000000023
2,83.63,0.677500000000002
3,82.956,0.6699999999999946
4,82.29,0.661999999999999
5,81.632,0.6540000000000035
6,80.982,0.6465000000000032
7,80.339,0.6394999999999982
8,79.703,0.6319999999999979
9,79.075,0.6245000000000047
10,78.454,0.6174999999999997
11,77.84,0.6104999999999947
12,77.233,0.6035000000000039
13,76.633,0.5964999999999989
14,76.04,0.589500000000001
15,75.454,0.5830000000000055
16,74.874,0.5764999999999958
17,74.301,0.5694999999999979
18,73.735,0.5630000000000024
19,73.175,0.5564999999999998
20,72.622,0.5499999999999972
21,72.075,0.5439999999999969
22,71.534,0.5375000000000014
23,71.0,0.5310000000000059
24,70.472,0.525500000000001
25,69.949,0.5194999999999936
26,69.433,0.5129999999999981
27,68.923,0.5075000000000003
28,68.418,0.5020000000000024
29,67.919,0.4960000000000022
30,67.426,0.490000000000002
31,66.939,0.48450000000000415
32,66.457,0.4789999999999992
33,65.981,0.47349999999999426
34,65.51,0.4679999999999964
35,65.045,0.4625000000000057
36,64.585,0.45700000000000074
37,64.131,0.4519999999999982
38,63.681,0.4469999999999992
39,63.237,0.4414999999999978
40,62.798,0.43650000000000233
41,62.364,0.43200000000000216
42,61.934,0.4269999999999996
43,61.51,0.4214999999999982
44,61.091,0.41699999999999804
45,60.676,0.4125000000000014
46,60.266,0.4075000000000024
47,59.861,0.40249999999999986
48,59.461,0.3979999999999997
49,59.065,0.3934999999999995
50,58.674,0.38899999999999935
51,58.287,0.3844999999999992
52,57.905,0.379999999999999
53,57.527,0.3760000000000012
54,57.153,0.37150000000000105
55,56.784,0.3670000000000009
56,56.419,0.36299999999999955
57,56.058,0.3589999999999982
58,55.701,0.3545000000000016
59,55.349,0.35050000000000026
60,55.0,0.34699999999999775
61,54.655,0.34250000000000114
62,54.315,0.3384999999999998
63,53.978,0.3349999999999973
64,53.645,0.3309999999999995
65,53.316,0.32700000000000173
66,52.991,0.3235000000000028
67,52.669,0.31950000000000145
68,52.352,0.3155000000000001
69,52.038,0.3125
70,51.727,0.3089999999999975
71,51.42,0.3049999999999997
72,51.117,0.30150000000000077
73,50.817,0.2984999999999971
74,50.52,0.2950000000000017
75,50.227,0.29150000000000276
76,49.937,0.2879999999999967
77,49.651,0.28449999999999775
78,49.368,0.2815000000000012
79,49.088,-2.4354999999999976
80,54.239,-2.4594999999999985
81,54.007,0.2309999999999981
82,53.777,0.22850000000000037
83,53.55,0.2259999999999991
84,53.325,0.2234999999999978
85,53.103,0.22050000000000125
86,52.884,0.21799999999999997
87,52.667,0.2154999999999987
88,52.453,0.21300000000000097
89,52.241,0.21100000000000207
90,52.031,0.2085000000000008
91,51.824,0.20599999999999952
92,51.619,0.20349999999999824
93,51.417,0.2010000000000005
94,51.217,0.19900000000000162
95,51.019,0.19650000000000034
96,50.824,0.1944999999999979
97,50.63,0.192499999999999
98,50.439,0.18950000000000244
99,50.251,0.1875
100,50.064,0.18599999999999994
101,49.879,0.18349999999999866
102,49.697,0.18099999999999739
103,49.517,0.17900000000000205
104,49.339,0.177500000000002
105,49.162,0.17549999999999955
106,48.988,0.17299999999999827
107,48.816,0.17099999999999937
108,48.646,0.16900000000000048
109,48.478,0.16750000000000043
110,48.311,0.16550000000000153
111,48.147,0.1634999999999991
112,47.984,0.1615000000000002
113,47.824,0.1595000000000013
114,47.665,0.1579999999999977
115,47.508,0.1559999999999988
116,47.353,0.15399999999999991
117,47.2,0.15249999999999986
118,47.048,0.1509999999999998
119,46.898,0.1490000000000009
120,46.75,3.535
121,39.828,3.5465000000000018
122,39.657,0.16950000000000287
123,39.489,0.16699999999999804
124,39.323,0.16549999999999798
125,39.158,0.1634999999999991
126,38.996,0.1615000000000002
127,38.835,0.16000000000000014
128,38.676,0.15800000000000125
129,38.519,0.1565000000000012
130,38.363,0.15449999999999875
131,38.21,0.15249999999999986
132,38.058,0.1509999999999998
133,37.908,0.1490000000000009
134,37.76,0.14750000000000085
135,37.613,0.1454999999999984
136,37.469,0.14399999999999835
137,37.325,0.14250000000000185
138,37.184,0.14050000000000296
139,37.044,0.13949999999999818
140,36.905,0.1374999999999993
141,36.769,0.1355000000000004
142,36.634,0.13449999999999918
143,36.5,0.13299999999999912
144,36.368,0.13149999999999906
145,36.237,0.13000000000000256
146,36.108,0.1280000000000001
147,35.981,0.12650000000000006
148,35.855,0.1255000000000024
149,35.73,0.12399999999999878
150,35.607,0.12249999999999872
151,35.485,0.12150000000000105
152,35.364,0.120000000000001
153,35.245,0.11799999999999855
154,35.128,0.11699999999999733
155,35.011,0.11599999999999966
156,34.896,0.11400000000000077
157,34.783,0.11299999999999955
158,34.67,0.11200000000000188
159,34.559,0.11050000000000182
160,34.449,0.10899999999999821
161,34.341,0.10749999999999815
162,34.234,0.10650000000000048
163,34.128,0.10549999999999926
164,34.023,0.10450000000000159
165,33.919,0.10300000000000153
166,33.817,0.10199999999999676
167,33.715,0.10099999999999909
168,33.615,0.09950000000000259
169,33.516,0.09850000000000136
170,33.418,0.09699999999999775
171,33.322,0.09600000000000009
172,33.226,0.09500000000000242
173,33.132,0.0940000000000012
174,33.038,0.09299999999999997
175,32.946,0.09149999999999991
176,32.855,0.09099999999999753
177,32.764,0.08999999999999986
178,32.675,0.0884999999999998
179,32.587,0.08749999999999858
180,32.5,0.08650000000000091
181,32.414,0.08549999999999969
182,32.329,0.08450000000000202
183,32.245,0.08399999999999963
184,32.161,0.08299999999999841
185,32.079,0.08150000000000013
186,31.998,0.08099999999999952
187,31.917,0.08000000000000007
188,31.838,0.07900000000000063
189,31.759,0.07800000000000118
190,31.682,0.07699999999999996
191,31.605,0.07649999999999935
192,31.529,0.0754999999999999
193,31.454,0.07450000000000045
194,31.38,0.07350000000000101
195,31.307,0.07299999999999862
196,31.234,0.07199999999999918
197,31.163,0.0710000000000015
198,31.092,0.0705000000000009
199,31.022,0.07000000000000028
