island_id,area_km2,species_richness,log_area,log_species,log_species_pred,species_pred
0,1.983,14,0.2973227142053027,1.146128035678238,1.2208989078636283,16.630254974688924
1,2.247,16,0.3516030724191289,1.2041199826559248,1.2328429652499437,17.093971094810104
2,3.661,21,0.5635997288815311,1.3222192947339193,1.2794915194197454,19.032310723299208
3,2.002,33,0.3014640731432998,1.5185139398778875,1.2218101883054027,16.665186887366822
4,1.38,15,0.13987908640123647,1.1760912590556813,1.1862544105264232,15.35516227685517
5,4.937,18,0.6934631272195312,1.255272505103306,1.3080671577016592,20.32671311451359
6,4.211,19,0.6243852414202651,1.2787536009528289,1.292866995815078,19.627590830343248
7,0.57,13,-0.24412514432750865,1.1139433523068367,1.1017566526018314,12.640278786734166
8,1.345,16,0.12872228433842678,1.2041199826559248,1.1837994251786659,15.268607291102695
9,4.779,19,0.679337030520794,1.2787536009528289,1.3049587974187424,20.18174885404009
10,1.227,14,0.08884456272700428,1.146128035678238,1.1750245789721239,14.963203382092292
11,3.765,17,0.5757649805367194,1.2304489213782739,1.2821684078683468,19.14998366580209
12,4.57,21,0.6599162000698503,1.3222192947339193,1.3006853636937437,19.984135406717623
13,2.707,14,0.43248825577050637,1.146128035678238,1.2506412499968085,17.809070371195478
14,3.301,19,0.5186455243303115,1.2787536009528289,1.2695996245136585,18.603712721373476
15,3.542,16,0.5492485568540559,1.2041199826559248,1.2763336327016475,18.8944229469013
16,3.245,17,0.511214701136388,1.2304489213782739,1.2679645177904095,18.533801945716338
17,3.546,43,0.549738731264899,1.6334684555795864,1.2764414925516019,18.899116082087012
18,0.75,11,-0.12493873660829995,1.0413926851582251,1.127982885079133,13.427120457447694
19,3.355,17,0.5256925245050109,1.2304489213782739,1.2711502733534545,18.670256020204462
20,5.132,19,0.7102866477028908,1.2787536009528289,1.3117690694189978,20.500717892854826
21,5.324,20,0.7262380468026375,1.3010299956639813,1.315279076215358,20.667077888723092
22,3.898,16,0.5908418347816027,1.2041199826559248,1.2854859764738564,19.296830250197207
23,2.608,16,0.4163075870598826,1.2041199826559248,1.247080793839402,17.663663955472533
24,2.369,19,0.37456506072276513,1.2787536009528289,1.2378956088769837,17.29400614187339
