iter	Logloss
0	0.6908464355
1	0.6863620605
2	0.6835709229
3	0.679510498
4	0.6756921997
5	0.6718989258
6	0.6679067993
7	0.6647493896
8	0.6619522095
9	0.6577163086
10	0.6540068359
11	0.6511367798
12	0.6480499268
13	0.6449329834
14	0.6415465698
15	0.6385646973
16	0.6357496338
17	0.6320202637
18	0.628633728
19	0.625184082
20	0.6222349854
21	0.6197757568
22	0.6159310913
23	0.6120032959
24	0.6086812134
25	0.6055893555
26	0.6030783691
27	0.6001414795
28	0.5981360474
29	0.5948829346
30	0.5922442627
31	0.5897885742
32	0.5868972168
33	0.5847949829
34	0.5815070801
35	0.5795936279
36	0.5771547852
37	0.5757821045
38	0.5729546509
39	0.5706796265
40	0.5680373535
41	0.5658140259
42	0.5633375854
43	0.5611762695
44	0.5584352417
45	0.5567988281
46	0.5546558838
47	0.5533050537
48	0.551460083
49	0.5498925781
50	0.5474129639
51	0.5451894531
52	0.5429776611
53	0.5406729126
54	0.5384223022
55	0.5362155151
56	0.5335821533
57	0.5322839355
58	0.530399292
59	0.5290997925
60	0.5268696289
61	0.5247157593
62	0.5234088135
63	0.5210947266
64	0.5182158813
65	0.5162980957
66	0.5145656128
67	0.5129975586
68	0.5114211121
69	0.5084299927
70	0.5068731995
71	0.5045844727
72	0.5023965149
73	0.5000143738
74	0.4974328308
75	0.4957201538
76	0.4932232056
77	0.491117157
78	0.4891583557
79	0.487303009
80	0.4844838867
81	0.4816196899
82	0.47970755
83	0.4774144897
84	0.4747497559
85	0.4726212158
86	0.4701303101
87	0.4687401733
88	0.4658016968
89	0.4635979004
90	0.4608068237
91	0.4588854065
92	0.4562589722
93	0.4545225525
94	0.4523612671
95	0.4496897888
96	0.4466318665
97	0.4442368774
98	0.4421578674
99	0.4397277527
100	0.4376813354
101	0.4363457642
102	0.433723114
103	0.4320427856
104	0.4295241699
105	0.4273453979
106	0.4249307251
107	0.4234915771
108	0.4211679993
109	0.4196229858
110	0.4182777405
111	0.4166435852
112	0.4147781067
113	0.4124972534
114	0.4109627991
115	0.408967865
116	0.4064177856
117	0.4041289062
118	0.4021896362
119	0.4001741333
120	0.3975041199
121	0.3954807739
122	0.3938414917
123	0.3921405029
124	0.3897405396
125	0.3877408447
126	0.3853480835
127	0.3833559265
128	0.3816098022
129	0.3801166992
130	0.3778569946
131	0.3762311096
132	0.3743231201
133	0.3729828796
134	0.3714312744
135	0.3695050049
136	0.3673742981
137	0.3658773193
138	0.3642006836
139	0.3621153259
140	0.3608467102
141	0.3590880737
142	0.357146698
143	0.3557828979
144	0.3543499756
145	0.3529891968
146	0.3512121277
147	0.3502245178
148	0.3485908203
149	0.3467359619
150	0.3450210571
151	0.3428382874
152	0.34134729
153	0.3394559937
154	0.3377187195
155	0.3359734497
156	0.3339256592
157	0.3323572083
158	0.3307995911
159	0.3292081299
160	0.3277316895
161	0.3262644653
162	0.3247267761
163	0.3231057129
164	0.3220848389
165	0.3207154541
166	0.3194831543
167	0.3178786011
168	0.3165558167
169	0.3146334839
170	0.3131642456
171	0.3114397583
172	0.3101884155
173	0.308865448
174	0.3076246338
175	0.3058423462
176	0.3044238892
177	0.3030859985
178	0.3017535095
179	0.300320343
180	0.2985742798
181	0.2973233643
182	0.2963990479
183	0.294878418
184	0.2936367188
185	0.2918815308
186	0.2907738953
187	0.2894963379
188	0.2879831543
189	0.2864702148
190	0.2853982544
191	0.2843589478
192	0.283245697
193	0.2821072083
194	0.2806011963
195	0.2795092163
196	0.2783028259
197	0.2764329224
198	0.2751671753
199	0.2740014038
200	0.2729292603
201	0.2716322632
202	0.270199707
203	0.2686964722
204	0.2677090454
205	0.2666474609
206	0.2655255127
207	0.2638209534
208	0.2629558105
209	0.2620348511
210	0.2609413147
211	0.2591990967
212	0.2580248413
213	0.2569156189
214	0.2556599884
215	0.2548568115
216	0.2539889069
217	0.253018158
218	0.2516189575
219	0.2507944031
220	0.2500198975
221	0.2490791626
222	0.2479052429
223	0.2470007477
224	0.2458150024
225	0.2449340515
226	0.243902298
227	0.242921463
228	0.2421262207
229	0.2409884644
230	0.2401455688
231	0.2389960327
232	0.2376583405
233	0.236427124
234	0.2355392456
235	0.2344207458
236	0.2333161621
237	0.2323295898
238	0.2311519775
239	0.2303565826
240	0.2293838806
241	0.2281490479
242	0.2272216492
243	0.226426239
244	0.2254199982
245	0.2244590912
246	0.2233764343
247	0.2224613953
248	0.2215480499
249	0.220755249
250	0.2198813477
