feature,importance
has_wu*,0.026210736960584183
count_v.,0.025223124325320548
density_v.,0.022572552611350674
density_*z,0.022351127796047223
count_vw,0.02126155533978802
density_uw,0.01997914707961489
density_yz,0.0199709665434995
density_yx,0.019240087365690994
count_yv,0.018888937559033325
density_..,0.018505215985509235
density_zz,0.01807762736307192
density_*y,0.017114285760092406
density_*v,0.016726153849343464
density_wu.,0.015451551435597165
count_u..,0.015201448164842127
has_zv*,0.014976793493802596
count_xw,0.01440710729480763
count_u.,0.014106795893971518
count_yz,0.01392251457059477
count_w.,0.013777549413057918
