,0
std_second_half,0.08758883900260185
autocorr_lag1,0.08308844998251626
autocorr_lag3,0.06430674960697993
mean_second_half,0.05325324354322184
entropy,0.052990546132593574
autocorr_lag2,0.047529112530196864
pos_max,0.04438385810836651
diff_halves,0.04364331851796665
freq_z,0.03890655541207117
std_first_half,0.031717845400175027
mean_first_half,0.029910596050637315
skew,0.029774340800578985
mean_abs_diff,0.028516697021562072
kurt,0.026281496712856487
mean,0.025748979360116973
pos_min,0.024182453017761618
n_large_jumps,0.0225232186676649
std,0.021624361281433958
std_diff,0.0198411216536221
iqr,0.019703618974330015
n_sign_changes,0.0189655276179304
freq_u,0.018324279031319904
freq_y,0.016320750166261305
freq_v,0.014909306781090056
freq_x,0.01443144030105341
n_high_to_low,0.013104295042102688
frac_high,0.011143136196270121
max_run,0.010416268930192233
n_low_to_high,0.0104053034484787
median,0.010297220040338114
q25,0.009266678395510979
freq_.,0.008874471968571862
frac_mid,0.008342274936019186
freq_w,0.007478667036557676
n_transitions,0.007252763499983303
mean_run,0.006221377695244158
frac_low,0.006075482206938636
n_runs,0.005501756351373755
freq_*,0.0029171209500343546
max_abs_diff,0.0028999629682767837
q75,0.0013355041799615296
range,1.0104792366749944e-06
max,0.0
n_unique,0.0
min,0.0
