,vibration_rms_mm_s,vibration_rms_mm_s,vibration_rms_mm_s,vibration_rms_mm_s,peak_accel_g,peak_accel_g,bearing_temp_c,zone
,mean,std,max,min,mean,max,mean,first
asset_id,,,,,,,,
ASSET_001,3.336,3.261,37.89,0.719,7.51,102.866,71.607,B
ASSET_002,3.421,3.253,31.245,1.089,7.717,81.934,72.029,C
ASSET_003,7.031,7.136,64.56,1.076,15.679,188.53,90.087,D
ASSET_004,3.486,3.689,33.244,0.214,7.803,83.085,72.541,A
ASSET_005,3.358,3.213,37.506,0.752,7.519,105.644,71.9,B
ASSET_006,3.321,3.145,32.435,1.003,7.557,83.952,71.571,C
ASSET_007,6.994,7.019,71.892,1.642,15.788,170.662,90.012,D
ASSET_008,3.434,3.474,38.955,0.965,7.803,106.754,71.997,A
